target,scenario,feature_set,split,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean,bias_abs,bias_to_mae_ratio
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,historical_average_route_day_type_slot,3,freeze_20260610_192142,full_days_20260720_1530,1559,1948,389,0,38.103808017543145,49.58973907527643,33.903466491673406,32.31244041043383,26.66281923068928,26.66281923068928,0.6997415906151325
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,naive,1,freeze_20260610_192142,full_days_20260720_1530,1368,1890,372,365,43.61257309941521,55.97024324277116,42.68183292022975,41.14195083267248,1.2777777777777777,1.2777777777777777,0.02929838087895142
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,naive,3,freeze_20260610_192142,full_days_20260720_1530,1421,1948,389,390,55.38986629134413,73.35333305852717,46.12477198035125,44.39512217133317,0.28501055594651653,0.28501055594651653,0.005145536088630271
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,seasonal_naive_daily,1,freeze_20260610_192142,full_days_20260720_1530,1266,1890,372,387,47.7480252764613,61.158232347626395,51.08123059616884,46.994845641340596,4.419431279620853,4.419431279620853,0.0925573624046717
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,seasonal_naive_daily,3,freeze_20260610_192142,full_days_20260720_1530,1313,1948,389,400,53.09139375476009,68.23326439607523,51.23355665258044,45.54566065349911,5.924600152322925,5.924600152322925,0.1115924772984837
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,seasonal_naive_weekly,1,freeze_20260610_192142,full_days_20260720_1530,1355,1890,372,358,42.86789667896679,55.60051235528088,45.06414219477105,41.21708402222427,1.0760147601476016,1.0760147601476016,0.025100712736287577
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,test_final,seasonal_naive_weekly,3,freeze_20260610_192142,full_days_20260720_1530,1400,1948,389,375,47.455714285714286,62.66827632177908,44.14293109444793,39.230251426007065,1.3014285714285714,1.3014285714285714,0.02742406454137692
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,validation,historical_average_route_day_type_slot,1,freeze_20260610_192142,full_days_20260720_1530,13088,14612,1524,0,31.87699359551212,41.36161657832348,28.560601131373748,26.851351248007262,17.596474057192758,17.596474057192758,0.5520117198150745
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,validation,historical_average_route_day_type_slot,3,freeze_20260610_192142,full_days_20260720_1530,13297,15072,1775,0,34.3196384235365,45.849534596142405,27.765005804666625,25.095257982438195,13.427415312949076,13.427415312949076,0.39124582687154763
pasajeros_total,oferta_historica_rezagada,calendario_ruta_lags_demanda_lags_despachos,validation,naive,1,freeze_20260610_192142,full_days_20260720_1530,12189,14612,1524,1597,43.956190007383704,57.212696500914326,38.50916959716636,36.27786610187395,2.8789892526048075,2.8789892526048075,0.06549678787267957
