split,model,tipo_dia,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,historical_average_route_day_type_slot,DOMINGO,freeze_20260610_192142,baselines_full_20260718,213,510,297,0,12.95771665340876,14.905669259988954,38.98551908501802,42.04103042156993,8.283476015620685
test_final,historical_average_route_day_type_slot,FESTIVO,freeze_20260610_192142,baselines_full_20260718,88,156,68,0,15.123456152433427,17.833688305521015,47.05880969640342,50.164498357110496,9.730149711399712
test_final,historical_average_route_day_type_slot,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,43,104,61,0,12.008305825861086,13.632529872055212,39.74577605021904,43.31855289530425,7.086505200266091
test_final,historical_average_route_day_type_slot,LABORAL,freeze_20260610_192142,baselines_full_20260718,2298,2565,267,0,41.70441457567464,51.91197590577277,32.95178591784349,32.70644243753872,30.461761782464094
test_final,historical_average_route_day_type_slot,SABADO,freeze_20260610_192142,baselines_full_20260718,485,560,75,0,33.14473845800318,41.15897576017933,40.52799392083312,40.87572952966548,26.77687417966567
test_final,naive,DOMINGO,freeze_20260610_192142,baselines_full_20260718,103,510,297,297,13.54368932038835,18.029371936570183,41.85494519167907,44.24357754519505,-0.47572815533980584
test_final,naive,FESTIVO,freeze_20260610_192142,baselines_full_20260718,71,156,68,68,18.802816901408452,22.97120058547285,59.36586695453299,60.79234972677595,-0.5492957746478874
test_final,naive,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,23,104,61,61,12.08695652173913,15.803136727712717,40.87027448927181,43.2348367029549,-1.7391304347826086
test_final,naive,LABORAL,freeze_20260610_192142,baselines_full_20260718,2199,2565,267,261,55.05047748976808,70.77195987595616,43.630486763991236,42.529361546649994,1.0686675761709867
test_final,naive,SABADO,freeze_20260610_192142,baselines_full_20260718,441,560,75,74,37.24716553287982,47.58522608432788,46.567238711102476,44.68079318880396,-0.11791383219954649
