split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,12,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,354,396,42,0,35.64754639279332,49.25559520050253,29.22654243196699,26.512661350607893,11.613215181186213
validation,12,naive,1,freeze_20260610_192142,baselines_full_20260718,332,383,32,37,41.98795180722892,55.121825646930475,38.3114021982248,34.66971746916037,4.156626506024097
validation,12,naive,3,freeze_20260610_192142,baselines_full_20260718,332,396,42,44,52.34939759036145,69.1245601742037,41.17220929212177,37.72192559795112,2.1987951807228914
validation,12,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,322,383,32,33,54.82919254658385,70.5526762371464,51.80942005159351,45.57422752265159,5.1397515527950315
validation,12,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,327,396,42,41,54.9388379204893,71.38419547711085,49.239153826247524,41.42168730257546,8.247706422018348
validation,12,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,334,383,32,28,47.18562874251497,65.3842168140235,43.97027089256324,38.437149407345984,-1.6047904191616766
validation,12,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,333,396,42,34,50.81681681681682,70.5072994751556,42.557131869146524,37.00496402720375,3.069069069069069
validation,13,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,366,386,20,0,31.55704351067642,42.52178681513657,27.51079314456216,25.438578783136727,15.196033724014182
validation,13,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,373,398,25,0,32.25849538155499,42.94289882859679,23.93105752271179,22.23326147438055,6.603378391876462
validation,13,naive,1,freeze_20260610_192142,baselines_full_20260718,349,386,20,25,47.19484240687679,62.20100976709177,41.227751465738244,38.0445327297085,4.2206303724928365
validation,13,naive,3,freeze_20260610_192142,baselines_full_20260718,351,398,25,29,54.83475783475784,70.14703726891705,39.895627149329705,36.276764173703256,0.6410256410256411
