split,model,hora_del_dia,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,historical_average_route_day_type_slot,4,freeze_20260610_192142,baselines_full_20260718,156,185,29,0,33.417179125203525,43.34217482397107,31.13246011806129,35.50418813275046,23.207332246189114
test_final,historical_average_route_day_type_slot,5,freeze_20260610_192142,baselines_full_20260718,216,280,64,0,46.41174188254325,57.56724412296504,27.539710058470746,26.145414408443106,24.60303942159347
test_final,historical_average_route_day_type_slot,6,freeze_20260610_192142,baselines_full_20260718,220,280,60,0,50.252184006840565,63.41136804767584,30.149028754154738,29.265109673888674,37.018722275674875
test_final,historical_average_route_day_type_slot,7,freeze_20260610_192142,baselines_full_20260718,256,280,24,0,35.66555134180679,46.242383221414784,32.80064358902733,31.56352592215763,28.348789829937534
test_final,historical_average_route_day_type_slot,8,freeze_20260610_192142,baselines_full_20260718,263,280,17,0,35.58633692544241,45.51595273863238,34.52327473329841,33.240540600196596,26.922238918759856
test_final,historical_average_route_day_type_slot,9,freeze_20260610_192142,baselines_full_20260718,253,280,27,0,32.64158041023861,42.08125437838039,32.907049367735944,32.708807999803426,24.359052242591563
test_final,historical_average_route_day_type_slot,10,freeze_20260610_192142,baselines_full_20260718,249,280,31,0,31.34069915396567,38.75614027987803,35.57695981672783,34.89930722837731,20.931482834183885
test_final,historical_average_route_day_type_slot,11,freeze_20260610_192142,baselines_full_20260718,257,280,23,0,28.895293602154663,36.26636471255477,33.95738534949675,33.263563071685326,17.262675353382555
test_final,historical_average_route_day_type_slot,12,freeze_20260610_192142,baselines_full_20260718,250,280,30,0,32.23049597766341,40.290873046211324,32.326972435594406,30.475128571920767,22.902164220284593
test_final,historical_average_route_day_type_slot,13,freeze_20260610_192142,baselines_full_20260718,241,280,39,0,37.791735018988845,47.60320304555226,36.63414138217708,35.73931933596104,25.94982345832688
test_final,historical_average_route_day_type_slot,14,freeze_20260610_192142,baselines_full_20260718,239,280,41,0,39.10201782693356,49.60732538824794,37.51800894644835,37.055441160337516,29.01213001764421
test_final,historical_average_route_day_type_slot,15,freeze_20260610_192142,baselines_full_20260718,231,279,48,0,46.53898673933122,58.53962546178145,39.73662135789582,41.32743603884793,41.774442984689074
