target,scenario,feature_set,split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean,bias_abs,bias_to_mae_ratio
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,historical_average_route_day_type_slot,1,freeze_20260610_192142,multitarget_20260720_1435,360,386,26,0,7.796344327484157,11.315526556198417,16.594672552189436,16.36397745921253,-3.07069476796259,3.07069476796259,0.39386341071899383
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,historical_average_route_day_type_slot,3,freeze_20260610_192142,multitarget_20260720_1435,374,398,24,0,8.207581857141985,12.410991904465215,16.799682096075543,16.294558257115312,-3.297936789600163,3.297936789600163,0.4018158876759054
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,naive,1,freeze_20260610_192142,multitarget_20260720_1435,337,386,26,33,9.834272997032642,14.18062188664475,20.338519694213826,20.453907245667217,0.9260633036597427,0.9260633036597427,0.09416693068609847
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,naive,3,freeze_20260610_192142,multitarget_20260720_1435,355,398,24,31,12.650798122065726,18.125048091110504,24.6549400708965,24.884642460229085,0.7408450704225352,0.7408450704225352,0.05856113292412289
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,seasonal_naive_daily,1,freeze_20260610_192142,multitarget_20260720_1435,335,386,26,29,12.176119402985075,17.17211448117443,25.501636678181207,25.509666969286044,-0.26417910447761217,0.26417910447761217,0.021696494238784034
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,seasonal_naive_daily,3,freeze_20260610_192142,multitarget_20260720_1435,347,398,24,31,14.250041169205437,20.787979186601785,28.66355824188952,28.216438784976383,0.724543707973103,0.724543707973103,0.05084502559465255
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,seasonal_naive_weekly,1,freeze_20260610_192142,multitarget_20260720_1435,349,386,26,23,9.57287488061127,13.074517041221474,20.136792902928065,19.81326960066263,-2.179847182425979,2.179847182425979,0.22771081933192322
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,10,seasonal_naive_weekly,3,freeze_20260610_192142,multitarget_20260720_1435,362,398,24,24,9.839831623257037,14.17501376287551,19.747518748060834,19.266748590649073,-1.3763877926861352,1.3763877926861352,0.13987920173684268
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,historical_average_route_day_type_slot,1,freeze_20260610_192142,multitarget_20260720_1435,364,386,22,0,6.5390278566274915,9.158237594793428,14.905123628879835,14.18308985706356,-1.6398729254098958,1.6398729254098958,0.2507823733688239
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,historical_average_route_day_type_slot,3,freeze_20260610_192142,multitarget_20260720_1435,369,398,29,0,7.926084945865461,10.911733180209474,17.016914609326193,15.896437438962227,-2.4080566334288593,2.4080566334288593,0.30381413394831086
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,naive,1,freeze_20260610_192142,multitarget_20260720_1435,342,386,22,30,8.539522417153995,11.068576811184048,19.319939339986536,18.42587578403899,0.5947855750487329,0.5947855750487329,0.06965091793118798
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,naive,3,freeze_20260610_192142,multitarget_20260720_1435,348,398,29,31,11.083908045977012,14.867827664779957,23.90964913663743,22.07736475395482,0.667624521072797,0.667624521072797,0.06023367555048568
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,seasonal_naive_daily,1,freeze_20260610_192142,multitarget_20260720_1435,339,386,22,27,11.307571288102263,14.429792054001698,26.069744107767413,24.338973724033572,1.0189773844641103,1.0189773844641103,0.09011461068888155
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,seasonal_naive_daily,3,freeze_20260610_192142,multitarget_20260720_1435,346,398,29,30,12.511058353977429,16.790128957507626,26.952422631671862,25.063350852751693,1.1577552986512523,1.1577552986512523,0.0925385579616601
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,seasonal_naive_weekly,1,freeze_20260610_192142,multitarget_20260720_1435,347,386,22,24,10.056628242074929,13.909893489441536,21.10118943182404,21.37054671831223,2.199663784822286,2.199663784822286,0.21872776161888247
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,11,seasonal_naive_weekly,3,freeze_20260610_192142,multitarget_20260720_1435,358,398,29,22,10.664950784783187,15.169944161031706,21.602300375746825,21.15074480184539,1.9948656557595106,1.9948656557595106,0.18704874462297533
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,historical_average_route_day_type_slot,1,freeze_20260610_192142,multitarget_20260720_1435,351,383,32,0,6.7754078489557505,9.044514127506567,16.63075212174043,15.220617133717992,-0.6805330379834679,0.6805330379834679,0.10044163438638665
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,historical_average_route_day_type_slot,3,freeze_20260610_192142,multitarget_20260720_1435,354,396,42,0,6.904088181880962,8.82288980332351,16.1492028541143,14.735810924542895,-0.3856704437981967,0.3856704437981967,0.05586117002536952
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,naive,1,freeze_20260610_192142,multitarget_20260720_1435,332,383,32,37,9.247991967871485,11.860108079381844,21.942610292971708,20.66708624598791,0.5542168674698795,0.5542168674698795,0.05992834654217784
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,naive,3,freeze_20260610_192142,multitarget_20260720_1435,332,396,42,44,9.95602409638554,12.59000381722756,22.19493590356243,21.058779057173556,0.68785140562249,0.68785140562249,0.06908896553115107
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,seasonal_naive_daily,1,freeze_20260610_192142,multitarget_20260720_1435,322,383,32,33,11.655745341614907,15.456624983032826,27.87227922895473,26.12619615559536,0.29032091097308477,0.29032091097308477,0.024907966197283162
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,seasonal_naive_daily,3,freeze_20260610_192142,multitarget_20260720_1435,327,396,42,41,11.557390417940878,15.098270125690268,26.97629565913802,24.711749294902813,1.062079510703364,1.062079510703364,0.09189613505265572
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,seasonal_naive_weekly,1,freeze_20260610_192142,multitarget_20260720_1435,334,383,32,28,10.859830339321356,14.78344823836331,27.059515992133655,24.155188297057613,-1.238373253493014,1.238373253493014,0.11403246780100264
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,12,seasonal_naive_weekly,3,freeze_20260610_192142,multitarget_20260720_1435,333,396,42,34,11.073294723294723,15.042393400934579,24.99717984083723,23.28474498446366,-0.03741598741598765,0.03741598741598765,0.003378939001530972
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,13,historical_average_route_day_type_slot,1,freeze_20260610_192142,multitarget_20260720_1435,366,386,20,0,6.958155598818503,10.04582184782408,17.141514589443183,16.059087870331606,1.2586854850632936,1.2586854850632936,0.18089355249213152
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,13,historical_average_route_day_type_slot,3,freeze_20260610_192142,multitarget_20260720_1435,373,398,25,0,6.620080400496938,8.600909576325721,14.859199550345387,13.890682029054663,-0.23940665402454822,0.23940665402454822,0.036163707922123894
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,13,naive,1,freeze_20260610_192142,multitarget_20260720_1435,349,386,20,25,9.997421203438396,13.967590060951558,24.02549239962333,23.113434091503787,1.0038204393505255,1.0038204393505255,0.1004079370993475
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,13,naive,3,freeze_20260610_192142,multitarget_20260720_1435,351,398,25,29,9.935897435897436,12.778789739161738,21.275396798391043,20.66043137034199,0.7364672364672364,0.7364672364672364,0.07412186379928315
pasajeros_por_despacho,productividad_por_despacho,calendario_ruta_lags_productividad_lags_demanda_lags_despachos,validation,13,seasonal_naive_daily,1,freeze_20260610_192142,multitarget_20260720_1435,344,386,20,25,12.189631782945737,16.448710954183113,28.77866731475659,27.806371966618297,0.49874031007751946,0.49874031007751946,0.0409151251619673
