route,dia_op,tipo_dia,hora,real,pred_sarima,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,92.38870951318191,108.66842709529277
1,2026-04-02,FESTIVO,07:30,23.0,99.15930857998379,108.66842709529277
1,2026-04-02,FESTIVO,08:00,11.0,87.45437349638294,26.0
1,2026-04-02,FESTIVO,09:00,20.0,103.77065543493201,20.0
1,2026-04-02,FESTIVO,09:30,25.0,103.25329617016456,16.0
1,2026-04-02,FESTIVO,10:00,21.0,96.56219220129366,108.66842709529277
1,2026-04-02,FESTIVO,10:30,19.0,110.14106291124433,16.0
1,2026-04-02,FESTIVO,11:00,23.0,98.07990301833956,108.66842709529277
1,2026-04-02,FESTIVO,11:30,33.0,104.3651300705912,23.0
1,2026-04-02,FESTIVO,12:00,18.0,96.45458331250931,108.66842709529277
1,2026-04-02,FESTIVO,12:30,45.0,95.27999729247811,27.0
1,2026-04-02,FESTIVO,13:00,21.0,109.16347001451183,108.66842709529277
1,2026-04-02,FESTIVO,13:30,49.0,101.62732559170415,33.0
1,2026-04-02,FESTIVO,15:00,27.0,84.898239588117,108.66842709529277
1,2026-04-02,FESTIVO,15:30,30.0,95.47481960356238,108.66842709529277
1,2026-04-03,FESTIVO,08:00,14.0,26.24646881807687,18.5
1,2026-04-03,FESTIVO,08:30,30.0,17.77843249807921,24.0
1,2026-04-03,FESTIVO,09:00,16.0,26.2549481465202,20.0
1,2026-04-03,FESTIVO,11:00,12.0,36.62955219111287,23.0
1,2026-04-03,FESTIVO,11:30,28.0,30.6580273387713,28.0
1,2026-04-03,FESTIVO,12:00,19.0,26.146858754788816,18.0
1,2026-04-03,FESTIVO,12:30,18.0,54.42845659482089,36.0
1,2026-04-03,FESTIVO,14:30,31.0,24.2551805945174,24.0
1,2026-04-04,SABADO,04:30,37.0,48.761670699480064,75.56
1,2026-04-04,SABADO,05:00,48.0,17.380568747615186,59.8
1,2026-04-04,SABADO,05:30,51.0,23.317164271955665,96.34615384615384
1,2026-04-04,SABADO,06:00,42.0,18.640831050685517,94.76923076923077
1,2026-04-04,SABADO,06:30,66.0,12.795799298690993,108.03846153846153
1,2026-04-04,SABADO,07:00,38.0,7.147411851517679,106.84615384615384
1,2026-04-04,SABADO,07:30,63.0,2.785628071954139,105.65384615384616
1,2026-04-04,SABADO,08:00,80.0,7.8720750946294515,102.84615384615384
1,2026-04-04,SABADO,08:30,23.0,8.713392137331425,100.5
1,2026-04-04,SABADO,09:00,89.0,6.734950639023297,95.5
1,2026-04-04,SABADO,09:30,54.0,9.309022937229097,93.65384615384616
1,2026-04-04,SABADO,10:00,73.0,7.624019254455979,75.03846153846153
1,2026-04-04,SABADO,10:30,30.0,10.795270382258,94.0
1,2026-04-04,SABADO,11:00,17.0,6.67417533356521,92.34615384615384
1,2026-04-04,SABADO,11:30,104.0,11.197459326023424,82.6
1,2026-04-04,SABADO,12:00,71.0,10.049489232236816,87.46153846153847
1,2026-04-04,SABADO,13:00,99.0,13.456204446921152,64.45454545454545
1,2026-04-04,SABADO,13:30,21.0,6.280485753602834,71.44
1,2026-04-04,SABADO,14:30,36.0,9.110477463964536,75.15384615384616
1,2026-04-04,SABADO,15:00,124.0,5.1713884943818895,64.29166666666667
1,2026-04-04,SABADO,16:00,48.0,6.224764819073593,59.34782608695652
1,2026-04-04,SABADO,17:00,26.0,5.570187629087736,42.57142857142857
1,2026-04-05,DOMINGO,07:00,29.0,54.86915832069471,34.73913043478261
1,2026-04-05,DOMINGO,07:30,23.0,55.29961149510437,31.291666666666668
1,2026-04-05,DOMINGO,08:30,28.0,52.57153472667718,46.791666666666664
1,2026-04-05,DOMINGO,09:00,28.0,58.362862988246206,35.76470588235294
1,2026-04-05,DOMINGO,10:00,18.0,53.469128417451735,35.333333333333336
1,2026-04-05,DOMINGO,10:30,28.0,61.907461393456536,35.86363636363637
1,2026-04-05,DOMINGO,11:00,30.0,56.15531238627302,36.526315789473685
1,2026-04-05,DOMINGO,12:30,23.0,57.86055751386547,37.95238095238095
1,2026-04-05,DOMINGO,13:30,21.0,54.744688955129156,30.27777777777778
1,2026-04-05,DOMINGO,14:00,21.0,57.18102182142573,37.0
1,2026-04-05,DOMINGO,15:00,23.0,50.82733545198125,39.36842105263158
1,2026-04-06,LABORAL,04:30,135.0,24.23761027682274,115.16666666666667
1,2026-04-06,LABORAL,05:00,73.0,28.324191825751974,116.84873949579831
1,2026-04-06,LABORAL,05:30,183.0,18.79609359207431,133.30833333333334
1,2026-04-06,LABORAL,06:00,106.0,29.38581220602062,133.025
1,2026-04-06,LABORAL,06:30,160.0,24.065833155463025,132.0
1,2026-04-06,LABORAL,07:00,157.0,26.723666733276996,130.04166666666666
1,2026-04-06,LABORAL,07:30,54.0,20.12181427219038,133.91666666666666
1,2026-04-06,LABORAL,08:00,165.0,16.84438130174589,128.96638655462183
1,2026-04-06,LABORAL,08:30,123.0,32.510247287992875,131.94117647058823
1,2026-04-06,LABORAL,09:00,176.0,26.675083775429698,135.76470588235293
1,2026-04-06,LABORAL,09:30,155.0,32.04824375462344,121.23333333333333
1,2026-04-06,LABORAL,10:00,98.0,17.023787283306866,97.26666666666667
1,2026-04-06,LABORAL,10:30,80.0,20.196943720833616,96.45833333333333
1,2026-04-06,LABORAL,11:00,90.0,34.05118405577874,93.625
1,2026-04-06,LABORAL,11:30,84.0,21.296576512442424,100.1
1,2026-04-06,LABORAL,12:00,110.0,17.396926532938764,110.70833333333333
1,2026-04-06,LABORAL,12:30,165.0,18.22771763084846,130.91666666666666
1,2026-04-06,LABORAL,13:00,105.0,17.45833026211097,138.9
1,2026-04-06,LABORAL,13:30,192.0,17.667046637149756,135.725
1,2026-04-06,LABORAL,14:00,174.0,19.005507151398767,148.25423728813558
1,2026-04-06,LABORAL,14:30,113.0,16.170603080014335,150.93333333333334
1,2026-04-06,LABORAL,15:00,217.0,19.814968826663954,168.26666666666668
1,2026-04-06,LABORAL,15:30,135.0,18.810441645547925,174.56302521008402
1,2026-04-06,LABORAL,16:00,151.0,18.019221713920302,143.21848739495798
1,2026-04-06,LABORAL,16:30,118.0,16.95324100851505,115.16806722689076
1,2026-04-06,LABORAL,17:00,50.0,17.506860028894508,71.71818181818182
1,2026-04-06,LABORAL,17:30,20.0,16.37596531873647,37.36538461538461
1,2026-04-06,LABORAL,18:00,21.0,17.243316804964884,25.647058823529413
1,2026-04-07,LABORAL,04:30,120.0,80.46583919334451,115.45833333333333
1,2026-04-07,LABORAL,05:00,126.0,94.65807984281736,116.40336134453781
1,2026-04-07,LABORAL,05:30,137.0,83.6151161517639,133.83333333333334
1,2026-04-07,LABORAL,06:00,143.0,91.09307095873042,132.66666666666666
1,2026-04-07,LABORAL,06:30,134.0,90.74907551605716,131.91666666666666
1,2026-04-07,LABORAL,07:00,107.0,71.47888950814674,130.05833333333334
1,2026-04-07,LABORAL,07:30,187.0,89.06513536408919,133.125
1,2026-04-07,LABORAL,08:00,164.0,84.98986648030194,129.1596638655462
1,2026-04-07,LABORAL,08:30,129.0,92.21389552043364,131.71428571428572
1,2026-04-07,LABORAL,09:00,152.0,89.43092291015822,136.39495798319328
1,2026-04-07,LABORAL,09:30,91.0,76.1242202037279,120.86666666666666
1,2026-04-07,LABORAL,10:00,176.0,73.35691623173454,97.25833333333334
1,2026-04-07,LABORAL,10:30,88.0,77.69719279795122,96.075
1,2026-04-07,LABORAL,11:00,84.0,73.47322404095623,92.94166666666666
1,2026-04-07,LABORAL,11:30,134.0,76.59105024710311,100.175
1,2026-04-07,LABORAL,12:00,113.0,85.63681441796938,110.60833333333333
1,2026-04-07,LABORAL,12:30,82.0,74.94803697093135,130.925
1,2026-04-07,LABORAL,13:00,149.0,89.27819586233691,138.85
1,2026-04-07,LABORAL,13:30,211.0,86.11354444978004,135.49166666666667
1,2026-04-07,LABORAL,14:00,180.0,74.83989408651563,148.47457627118644
1,2026-04-07,LABORAL,14:30,114.0,92.75127223895217,150.69166666666666
1,2026-04-07,LABORAL,15:00,190.0,78.34976667927289,168.025
1,2026-04-07,LABORAL,15:30,194.0,80.47996868264784,174.84873949579833
1,2026-04-07,LABORAL,16:00,198.0,74.31589476228305,142.71428571428572
1,2026-04-07,LABORAL,16:30,148.0,62.58964528158022,114.59663865546219
1,2026-04-07,LABORAL,17:00,82.0,56.92614526554016,71.49090909090908
1,2026-04-08,LABORAL,04:30,126.0,134.45852180937888,115.275
1,2026-04-08,LABORAL,05:00,117.0,147.3460724194419,116.21848739495799
1,2026-04-08,LABORAL,05:30,125.0,150.96528330315672,133.56666666666666
1,2026-04-08,LABORAL,06:00,132.0,149.73320724896232,132.40833333333333
1,2026-04-08,LABORAL,06:30,189.0,151.55230561304637,131.51666666666668
1,2026-04-08,LABORAL,07:00,53.0,149.17477965876068,129.78333333333333
1,2026-04-08,LABORAL,07:30,118.0,139.8288355209262,133.34166666666667
1,2026-04-08,LABORAL,08:00,125.0,156.38996387628012,129.52100840336135
1,2026-04-08,LABORAL,08:30,184.0,150.81735765454982,131.6218487394958
1,2026-04-08,LABORAL,09:00,105.0,145.61774245302186,136.3361344537815
1,2026-04-08,LABORAL,09:30,120.0,148.2090371660399,120.09166666666667
1,2026-04-08,LABORAL,10:00,151.0,134.36151182985523,98.01666666666667
1,2026-04-08,LABORAL,10:30,70.0,147.5514810642343,95.75
1,2026-04-08,LABORAL,11:00,118.0,132.67082084263868,92.86666666666666
1,2026-04-08,LABORAL,11:30,88.0,130.4365122393637,100.425
1,2026-04-08,LABORAL,12:00,112.0,138.91551619919218,110.69166666666666
1,2026-04-08,LABORAL,12:30,146.0,136.49620615486324,130.125
1,2026-04-08,LABORAL,13:00,159.0,128.28847021223692,139.05
1,2026-04-08,LABORAL,13:30,60.0,141.99879625428588,136.33333333333334
1,2026-04-08,LABORAL,14:00,226.0,151.21918131719102,148.10169491525423
1,2026-04-08,LABORAL,14:30,125.0,142.9180622968668,150.63333333333333
1,2026-04-08,LABORAL,15:00,173.0,134.66709035052745,167.65833333333333
1,2026-04-08,LABORAL,15:30,175.0,143.9814966036487,174.52941176470588
1,2026-04-08,LABORAL,16:00,92.0,144.4329711429654,143.31932773109244
1,2026-04-08,LABORAL,16:30,142.0,143.1750618114165,114.4873949579832
1,2026-04-08,LABORAL,17:00,48.0,131.54347241486488,71.88181818181818
1,2026-04-09,LABORAL,04:30,82.0,97.24809620114463,115.275
1,2026-04-09,LABORAL,05:00,150.0,103.35068344830873,115.68067226890756
1,2026-04-09,LABORAL,05:30,110.0,104.61916125667248,133.96666666666667
1,2026-04-09,LABORAL,06:00,147.0,106.48397683345492,132.075
1,2026-04-09,LABORAL,06:30,99.0,106.96638413057813,131.96666666666667
1,2026-04-09,LABORAL,07:00,153.0,116.76545099244441,129.05
1,2026-04-09,LABORAL,07:30,147.0,92.61665958336495,133.39166666666668
1,2026-04-09,LABORAL,08:00,103.0,101.10814018513616,129.3613445378151
1,2026-04-09,LABORAL,08:30,178.0,105.78257518443696,131.46218487394958
1,2026-04-09,LABORAL,09:00,140.0,114.21593894991899,135.92436974789916
1,2026-04-09,LABORAL,09:30,86.0,99.20263578803524,119.88333333333334
1,2026-04-09,LABORAL,10:00,78.0,101.97948669363169,98.65833333333333
1,2026-04-09,LABORAL,10:30,37.0,103.6723261771439,95.40833333333333
1,2026-04-09,LABORAL,11:00,148.0,92.46943712337381,92.54166666666667
1,2026-04-09,LABORAL,11:30,69.0,96.95925683428541,100.76666666666667
1,2026-04-09,LABORAL,12:00,84.0,90.93620657482363,110.675
1,2026-04-09,LABORAL,12:30,140.0,96.62395661650005,130.38333333333333
1,2026-04-09,LABORAL,13:00,160.0,101.5785988198137,138.6
1,2026-04-09,LABORAL,13:30,85.0,101.52836598710746,134.89166666666668
1,2026-04-09,LABORAL,14:00,111.0,87.46888159357937,148.8135593220339
1,2026-04-09,LABORAL,14:30,168.0,117.56330233344178,150.25833333333333
