route,dia_op,tipo_dia,n,relleno_objetivo_ajuste_pct,relleno_objetivo_stop_pct,mae_original,mae_enmascarada,delta_mae,sesgo_original,sesgo_enmascarada,epoca_mejor_original,epoca_mejor_enmascarada,epocas_original,epocas_enmascarada,segundos_original,segundos_enmascarada,mae_stop_observado_original,mae_stop_relleno_original,aporte_relleno_loss_original
3,2026-04-08,LABORAL,27,11.1227455,21.153843,33.5202311763057,32.28993903266059,1.2302921436451086,1.965388262713397,-0.23935840747974538,324,307,354,337,1.9972943000029773,1.786829899996519,0.36801254749298096,0.12466216087341309,0.08331109831657278
3,2026-04-09,LABORAL,27,11.154169,21.153843,37.08398776584201,36.843874048303675,0.24011371753833544,2.953020449037905,8.010030958387587,383,345,413,375,1.9087743000127375,1.4816296000499278,0.3692072033882141,0.12506720423698425,0.08331131052496413
3,2026-04-10,LABORAL,27,11.164641,21.153843,38.19599349410446,38.64792830855758,-0.451934814453125,-8.716176916051793,-12.108137907805267,259,142,289,172,1.691720200004056,1.0776260999264196,0.3692258596420288,0.1334601491689682,0.08840378178103624
3,2026-04-11,SABADO,24,11.164641,20.604397,26.21107355753581,27.182407061258953,-0.9713335037231445,0.8020445505777994,4.188023567199707,414,337,444,367,2.536320999963209,2.136926500010304,0.390346884727478,0.17919202148914337,0.10645100186768097
3,2026-04-12,DOMINGO,8,11.133224,17.85714,6.5133562088012695,6.332807540893555,0.18054866790771484,4.092766761779785,3.507017135620117,345,374,375,404,2.421187900006771,2.2188961999490857,0.39401713013648987,0.14834371209144592,0.0756538189243463
3,2026-04-13,LABORAL,27,11.279851,22.802198,42.17736053466797,40.990433586968315,1.1869269476996536,24.2811525132921,23.35218556722005,310,114,340,144,2.123787600081414,0.8747999999905005,0.3847557604312897,0.1555594503879547,0.10668156378763737
3,2026-04-14,LABORAL,28,11.3007965,22.527473,31.628168651035853,31.424878529139928,0.20329012189592532,-3.1008913857596263,7.492724009922573,269,106,299,136,2.003980099922046,0.7746007000096142,0.4059131145477295,0.15178371965885162,0.098068678564466
3,2026-04-15,LABORAL,27,11.311269,21.703297,27.603038929126882,31.03179931640625,-3.428760387279368,4.362764994303386,23.775452225296586,404,113,434,143,1.6726209999760613,1.0264776000985876,0.38741007447242737,0.13978159427642822,0.09092075342508779
3,2026-04-16,LABORAL,27,11.237955,19.505495,27.190418102123118,29.280945389359086,-2.090527287235968,7.679448728208189,17.44409857855903,337,121,367,151,2.1367413999978453,0.9152061999775469,0.39257553219795227,0.13723129034042358,0.07809227975397219
3,2026-04-17,LABORAL,26,11.227483,15.109891,29.17270014836238,32.130401611328125,-2.957701462965744,-5.830565232496995,-16.008597153883713,266,113,296,143,1.6942579000024125,0.8730385000817478,0.3947949707508087,0.13952304422855377,0.05918130244916538
3,2026-04-18,SABADO,25,11.395055,14.285713,21.068497009277344,22.45867919921875,-1.390182189941406,9.263497009277344,7.181998901367187,258,128,288,158,1.7969305999577045,0.9074966000625864,0.4022912383079529,0.12895695865154266,0.0507164583182106
3,2026-04-19,DOMINGO,11,11.37411,10.439563,10.12834999778054,9.914179021661932,0.21417097611860747,0.9695060036399148,-2.4973796497691763,263,270,293,300,1.7080252999439836,1.7089977000141516,0.40218299627304077,0.13580560684204102,0.03786986716666256
3,2026-04-20,LABORAL,27,11.552155,14.835167,37.495032416449654,35.61938363534433,1.8756487811053262,17.404858624493635,17.34783257378472,264,263,294,293,1.8268756000325084,1.6846284000203013,0.39315712451934814,0.12480925023555756,0.05240073686081231
3,2026-04-21,LABORAL,27,11.5626335,14.560437,31.488815590187354,33.395261693883825,-1.9064461036964708,-8.705760531955296,-13.670989142523872,251,189,281,219,1.838245899998583,1.2565869999816641,0.3951387405395508,0.11718389391899109,0.04810843414541666
3,2026-04-22,LABORAL,27,11.583578,14.560437,39.01202731662326,45.70064855504919,-6.688621238425931,12.280000474717882,26.48940983525029,245,109,275,139,1.5418445999966934,0.9467534000286832,0.38887882232666016,0.1162167340517044,0.04846143503154834
3,2026-04-23,LABORAL,22,11.594051,14.560437,31.770871595902875,31.954822193492543,-0.1839505975896678,16.11138811978427,18.105840509588067,319,270,349,300,2.117915999959223,1.75012300000526,0.38841915130615234,0.1157284528017044,0.04832201293653161
3,2026-04-24,LABORAL,25,11.604524,15.934068,39.620138549804686,49.13498168945313,-9.514843139648441,-1.1755072021484374,-25.035357666015624,265,241,295,271,1.8231000000378117,1.538191800005734,0.3835420310497284,0.20376472175121307,0.09148591509701177
3,2026-04-25,SABADO,23,11.594051,15.659338,27.309133446734883,26.07810576065727,1.2310276860776135,-12.270769533903703,-4.554895152216372,245,184,275,214,1.9291730999248102,1.1776283000363037,0.3997513949871063,0.2215450555086136,0.09329815373851857
3,2026-04-26,DOMINGO,10,11.478842,11.538464,8.144773864746094,9.038114929199219,-0.893341064453125,0.8014007568359375,2.0234619140625,317,172,347,202,2.074962400016375,1.1369887999026105,0.40493419766426086,0.2597767114639282,0.07721631282261722
3,2026-04-27,LABORAL,28,11.68831,16.208792,40.15246663774763,38.46208899361746,1.690377644130166,11.207560675484794,10.37351063319615,392,168,422,198,2.191609699977562,0.8215133999474347,0.3753870725631714,0.2124253362417221,0.0986654760453273
3,2026-04-28,LABORAL,27,11.698782,16.208792,31.230213023998118,31.384492097077548,-0.15427907307942945,7.013998808684172,9.769725658275464,391,292,421,322,1.8441490000113845,1.8266079999739304,0.3877069354057312,0.2080063670873642,0.09402462808139626
3,2026-04-29,LABORAL,26,11.68831,16.208792,33.99902695875902,35.05632811326247,-1.057301154503449,-9.11229999248798,-1.6804172809307392,258,150,288,180,1.9907343999948353,1.0461190999485552,0.3942573070526123,0.2163642942905426,0.09597106767261612
3,2026-04-30,LABORAL,27,11.520738,16.483515,31.903273970992476,32.664571126302086,-0.7612971553096095,-2.9868802671079284,2.7429566559968173,202,164,232,194,1.4976080000633374,1.1335089999483898,0.3998391032218933,0.2240193635225296,0.09956988509244702
3,2026-05-01,FESTIVO,18,11.53121,16.208792,39.712945726182724,86.54662365383572,-46.833677927653,35.47564697265625,86.54662365383572,204,153,234,183,1.5167819999624044,1.0410115000559017,0.40125253796577454,0.22056467831134796,0.09611347154019562
3,2026-05-02,SABADO,26,11.520738,18.13187,29.08390133197491,24.658922048715446,4.424979283259464,-24.511666224553036,-9.778822678786058,293,400,323,430,1.9528043000027537,2.3623626000480726,0.41046735644340515,0.20971091091632843,0.10165173699603537
3,2026-05-03,DOMINGO,8,11.447424,14.01099,5.683844566345215,37.26041507720947,-31.576570510864258,3.5347204208374023,34.39115238189697,272,402,302,432,2.012545899953693,2.151958200032823,0.4195581078529358,0.23687241971492767,0.08424204791336033
3,2026-05-04,LABORAL,27,11.625469,19.23077,31.67952106617115,30.060443736888743,1.6190773292824083,7.998665421097367,3.782992610224971,259,429,289,459,1.1923014000058174,2.5120770999928936,0.40466001629829407,0.21697454154491425,0.11321120030763646
3,2026-05-05,LABORAL,27,11.635947,19.23077,36.79517223216869,36.76316635696976,0.0320058751989265,1.744447496202257,-0.06821780734592015,302,445,332,475,2.0749598999973387,2.6664619999937713,0.4070900082588196,0.21294155716896057,0.11075019267584633
3,2026-05-06,LABORAL,23,11.64642,19.23077,37.90326159933339,39.270501509956695,-1.3672399106233044,23.053995215374492,22.453140590501867,288,441,318,471,2.285891800071113,2.674386099912226,0.4045618176460266,0.21307750046253204,0.11142839078950338
3,2026-05-07,LABORAL,26,11.64642,18.956041,33.29695598895733,31.268768310546875,2.028187678410454,-5.734718322753906,1.6469139685997596,305,488,335,518,2.0008468999294564,3.0212333999807015,0.4090151786804199,0.19307941198349,0.09943487047985786
3,2026-05-08,LABORAL,26,11.709261,18.681318,30.568561553955078,29.87885519174429,0.6897063622107886,4.699198502760667,6.260723994328425,459,438,489,468,2.9228737000375986,1.9909339000005275,0.39812397956848145,0.16331714391708374,0.08612285873018033
3,2026-05-09,SABADO,25,11.719733,17.85714,17.22285430908203,17.399956970214845,-0.17710266113281392,0.16917694091796875,-0.8291592407226562,312,578,342,608,1.812499799998477,3.4050809999462217,0.4147568643093109,0.17862491309642792,0.08560956461972434
3,2026-05-10,DOMINGO,9,11.656893,13.736266,10.797476026746962,10.47393798828125,0.3235380384657116,-4.566208733452691,-4.024244520399305,355,560,385,590,2.431516700075008,3.313055200036615,0.40873533487319946,0.19681064784526825,0.07121355781390169
