route,dia_op,tipo_dia,n,demanda_media,mae_lstm,sesgo_lstm,rango_pred_lstm,rango_real,mae_media,sesgo_media,celdas_sin_media,epocas,ejemplos_ajuste,segundos
1,2026-04-02,FESTIVO,15,28.666666666666668,26.704265775133724,24.01028481892995,29.55168156670274,54.0,47.48982778415614,40.02316111748948,8,367,165,2.8936968999914825
1,2026-04-03,FESTIVO,8,21.0,22.366441282028156,19.592907221798825,41.859643032598946,19.0,6.4375,2.9375,0,506,165,3.4868659999920055
1,2026-04-04,SABADO,22,56.36363636363637,32.304837753545776,23.443234934392226,75.63330439051111,107.0,38.16031312231905,27.64633240606561,0,378,165,2.628858600044623
1,2026-04-05,DOMINGO,11,24.727272727272727,11.2431811515283,9.304272445229856,36.44747366729414,12.0,11.719003174518416,11.719003174518416,0,391,165,2.458358900039457
1,2026-04-06,LABORAL,28,121.78571428571429,28.097592507411896,-9.41615498324335,164.60940166428077,197.0,27.230476741188358,-2.105460091171709,0,101,165,0.751750799943693
1,2026-04-07,LABORAL,26,139.73076923076923,29.58355810022317,-17.72320738824321,111.78519734854022,129.0,25.56850589589872,-13.393689046081867,0,191,165,1.1705655999248847
1,2026-04-08,LABORAL,26,126.11538461538461,30.69225847213822,6.889695515230446,106.21961761516758,178.0,26.932030166576528,0.17501768753015,0,101,165,0.6567686999915168
1,2026-04-09,LABORAL,27,115.51851851851852,29.04624585299961,5.953802692199904,135.47427672375767,173.0,28.24555072157266,7.328588852650002,0,112,165,0.8455142000457272
1,2026-04-10,LABORAL,26,128.07692307692307,30.177225555572956,-20.238903834753764,100.30892641314753,155.0,26.19891770326715,-2.094688109331675,0,104,165,0.8066984999459237
1,2026-04-11,SABADO,24,77.25,33.08807613551226,16.776125460967975,72.19570701509076,146.0,22.651496545502553,4.346123542901289,0,100,165,0.7819185999687761
1,2026-04-12,DOMINGO,8,30.375,8.654610846517812,7.539893437860244,25.886437544725595,15.0,5.833735617452721,5.577422486139591,0,96,165,0.6951481000287458
1,2026-04-13,LABORAL,27,118.03703703703704,26.40266748593101,-4.324363403173889,157.40984534025765,189.0,27.64199674580827,4.533110865370377,0,99,165,0.7371600000187755
1,2026-04-14,LABORAL,26,122.0,27.68783360087474,6.010725405237235,104.00050585011269,140.0,28.693860676948916,3.8504510562665653,0,114,165,0.8606153000146151
1,2026-04-15,LABORAL,26,108.5,29.54182255919486,18.649266314701837,111.59522869875792,178.0,28.996586570918126,17.239816068693074,0,112,165,0.8226366000017151
1,2026-04-16,LABORAL,25,115.88,33.52925403264475,-0.40160125712862454,83.13665216889272,173.0,36.044323471537375,11.831568650600735,0,112,165,0.9760408999864012
1,2026-04-17,LABORAL,25,124.72,31.42907805164161,-15.606179813064305,80.41605083855694,136.0,28.156076579392085,0.5399333287033824,0,111,165,0.7841779999434948
1,2026-04-18,SABADO,26,71.38461538461539,18.929013247489586,8.598860601800153,70.13679355835359,80.0,13.875878783980793,8.651669882514364,0,131,165,0.9830994000658393
1,2026-04-19,DOMINGO,13,30.615384615384617,10.54063152246915,-0.09931206715554179,15.918776464155556,46.0,12.567757995059786,5.5179411452429346,0,218,165,1.4719607000006363
1,2026-04-20,LABORAL,26,121.15384615384616,30.214099391247693,4.943876182587482,102.95573082596108,205.0,28.520249291706513,4.140960710412582,0,245,165,1.8923226000042632
1,2026-04-21,LABORAL,27,117.22222222222223,40.76002542240905,-0.5317442847911011,147.63695100480402,195.0,41.44278557152889,4.699878442347248,0,201,165,1.483765999902971
1,2026-04-22,LABORAL,24,117.45833333333333,29.479755875620594,2.3082188927856095,103.98093921667497,160.0,29.294742883379246,5.530641643709825,0,315,165,1.726638299995102
1,2026-04-23,LABORAL,23,99.08695652173913,38.025150102987915,15.793874000277949,114.17363932127907,121.0,31.216694123522355,25.521371330373476,0,245,165,1.1538981000194326
1,2026-04-24,LABORAL,25,120.68,39.209455006039576,-36.8190063015671,68.35497876346452,126.0,22.311042292249578,6.227352082281294,0,201,165,0.8887534000677988
1,2026-04-25,SABADO,26,73.23076923076923,28.433522815799236,10.33913116288781,73.18018817119352,106.0,24.912680516250756,7.35561937226653,0,132,165,0.6259531999239698
1,2026-04-26,DOMINGO,9,28.0,9.823369557483751,2.6699886660929417,9.550459687356238,43.0,12.957705087289598,8.41664228535723,0,132,165,0.6478596999077126
1,2026-04-27,LABORAL,27,111.0,30.07715644556029,8.017023536099408,151.96109812053365,186.0,29.09462260298363,10.033348243224426,0,232,165,1.0336384999100119
1,2026-04-28,LABORAL,26,125.84615384615384,28.31008624597287,-0.9249591633544801,106.79095414043246,174.0,29.443086219046968,-2.5683057855767006,0,132,165,0.5307842999463901
1,2026-04-29,LABORAL,26,118.76923076923077,22.44758312994293,8.114704135511179,116.87796874235545,163.0,20.040834067155103,5.7809425519477164,0,133,165,0.6006920000072569
1,2026-04-30,LABORAL,25,129.48,44.80297623247758,-7.532031284240588,89.22553743029005,188.0,40.216450871618825,-4.291239364071413,0,349,165,1.4570788000710309
1,2026-05-01,FESTIVO,17,36.705882352941174,15.176191974900345,-3.337516938454204,52.27756030600031,58.0,21.696558567456833,-5.577951236464735,1,392,165,1.647033300017938
1,2026-05-02,SABADO,26,73.07692307692308,27.481432617782048,-9.143846706780662,72.66454628238326,135.0,22.01768590662404,7.446177030884386,0,123,165,0.609705499955453
1,2026-05-05,LABORAL,25,133.96,32.8495287493327,-5.04856484990347,96.6996989976267,193.0,32.78309342147156,-8.349945122871794,0,276,165,1.166618200019002
1,2026-05-06,LABORAL,25,107.6,40.11919207096332,19.588817702403727,112.47476228335154,168.0,34.51657263309987,14.778582251627206,0,235,165,0.981194099993445
1,2026-05-07,LABORAL,27,114.14814814814815,21.838002758173754,-5.399053714965444,125.76187296511873,196.0,22.899129333196658,6.580017395466332,0,130,165,0.6043350000400096
1,2026-05-08,LABORAL,26,116.5,34.577610294627,1.5964049866610457,99.29265743382467,204.0,33.58155325247345,7.361702119756365,0,255,165,1.0870392000069842
1,2026-05-09,SABADO,25,75.8,30.813588632544178,1.9337049140211737,47.2738691249713,130.0,27.128588342092694,4.526008313425705,0,141,165,0.5534100000513718
1,2026-05-10,DOMINGO,10,37.2,11.608862433945742,-7.873458413858233,8.100442817871809,39.0,12.008475734791524,-1.5532580113385066,0,303,165,1.4466830000746995
1,2026-05-11,LABORAL,26,105.57692307692308,38.02620407017081,30.85838241132834,119.27242301920512,182.0,30.23442972742926,18.09557184673779,0,281,165,1.4902759999968112
1,2026-05-12,LABORAL,26,116.46153846153847,23.559890580056408,2.1989962002580006,101.76004676751987,148.0,24.49751352683692,6.979246944933975,0,142,165,1.213367799995467
1,2026-05-13,LABORAL,26,116.11538461538461,32.48027605639674,3.14356372079944,115.41313095547821,174.0,34.118081173713136,7.166538007069823,0,167,165,1.1332819000817835
1,2026-05-14,LABORAL,27,110.18518518518519,19.529688692446662,6.518881968816652,129.83388470776816,196.0,21.41270492710944,9.792013160963128,0,140,165,1.1592695999424905
1,2026-05-15,LABORAL,26,121.03846153846153,29.042923650136856,-15.400288772911827,79.72166081473833,163.0,26.79269846601148,2.0203865742692426,0,141,165,1.0096345000201836
1,2026-05-16,SABADO,25,80.2,32.22549235833159,7.166267755025417,45.17788926947161,146.0,26.256848829431434,-0.4786588628762544,0,144,165,1.0065312000224367
1,2026-05-17,DOMINGO,8,31.25,10.017083822172461,-0.22481083329804186,8.859054176688602,43.0,11.54289483736078,4.333803928269873,0,163,165,1.18108949996531
1,2026-05-18,FESTIVO_PUENTE,13,28.615384615384617,67.51675014912053,67.51675014912053,29.897088960689146,42.0,12.506410256410255,-2.8782051282051286,0,169,164,1.3447190000442788
1,2026-05-19,LABORAL,26,127.07692307692308,32.399354877803766,-18.68836987903328,124.10732604291046,180.0,26.675089183212542,-4.098674664348097,0,91,163,0.630499399965629
1,2026-05-20,LABORAL,26,117.03846153846153,38.31340583026515,9.050979419539035,121.40275796874663,223.0,35.42537484885555,5.763531909662837,0,171,163,1.1716097999596968
1,2026-05-23,SABADO,23,79.95652173913044,31.1473262153306,7.922168460653325,67.12832068343249,124.0,25.205570999666406,1.120807779269917,0,90,163,0.7611585999839008
1,2026-05-24,DOMINGO,12,27.583333333333332,18.745121305519508,16.633323353186892,35.44632133705144,34.0,11.441985994956196,9.178097106067307,0,90,163,0.510521600022912
1,2026-05-25,LABORAL,27,114.37037037037037,28.156299321927644,8.367747155066969,151.24505161676962,181.0,27.916699276368917,4.855706154264679,0,214,163,1.4035556999733672
1,2026-05-26,LABORAL,26,121.76923076923077,34.37290967786511,-0.8382108954697151,149.61113494703028,164.0,28.787028279642747,0.5455297731641775,0,320,163,2.316158900037408
1,2026-05-27,LABORAL,25,116.16,36.30642872550112,7.656799908158128,80.82804088640616,188.0,32.27381810833456,5.645191453943198,0,162,163,1.2060404000803828
1,2026-05-28,LABORAL,26,112.3076923076923,33.62539756497668,-13.721685776734715,72.88090070179294,162.0,29.855196697513023,9.856578267090002,0,396,163,2.8032328999834135
1,2026-05-29,LABORAL,26,114.88461538461539,25.034098738435283,-8.438691769304743,89.03233191371648,126.0,23.125947078077225,7.077126780727515,0,187,163,1.3725639999611303
1,2026-05-30,SABADO,23,73.34782608695652,25.079859197197603,13.399103603217966,58.82629855145435,120.0,23.73085720517668,8.486940284038583,0,407,163,2.9012430000584573
1,2026-05-31,DOMINGO,9,43.111111111111114,20.92903469449852,-12.56051148942651,13.266904126163354,62.0,19.294281858587844,-5.760331241303892,0,149,163,1.084110499941744
1,2026-06-01,LABORAL,25,114.4,30.165475570848713,10.673804701118634,94.26703509783627,143.0,31.283288637141077,9.46986006571251,0,142,163,1.29662520007696
1,2026-06-02,LABORAL,26,118.26923076923077,28.77366901345958,2.6534748847266156,115.29727384537904,162.0,30.772365445800922,3.2590288986657745,0,134,163,0.7982691000215709
1,2026-06-03,LABORAL,25,113.84,26.013163005206636,8.215679031097233,77.58524863842584,150.0,24.38010028887696,9.581154613083825,0,142,163,0.6064940999494866
