route,dia_op,tipo_dia,hora,real,pred_grilla
1,2026-04-08,LABORAL,05:30,125.0,154.70685
1,2026-04-08,LABORAL,06:00,132.0,154.05814
1,2026-04-08,LABORAL,06:30,189.0,139.41226
1,2026-04-08,LABORAL,07:00,53.0,153.69481
1,2026-04-08,LABORAL,07:30,118.0,158.21991
1,2026-04-08,LABORAL,08:00,125.0,157.81743
1,2026-04-08,LABORAL,08:30,184.0,152.26346
1,2026-04-08,LABORAL,09:00,105.0,152.66656
1,2026-04-08,LABORAL,09:30,120.0,146.29413
1,2026-04-08,LABORAL,10:00,151.0,116.97443
1,2026-04-08,LABORAL,10:30,70.0,109.03799
1,2026-04-08,LABORAL,11:00,118.0,103.46484
1,2026-04-08,LABORAL,11:30,88.0,113.97848
1,2026-04-08,LABORAL,12:00,112.0,122.274925
1,2026-04-08,LABORAL,12:30,146.0,154.76459
1,2026-04-08,LABORAL,13:00,159.0,145.51753
1,2026-04-08,LABORAL,13:30,60.0,163.12854
1,2026-04-08,LABORAL,14:00,226.0,166.6414
1,2026-04-08,LABORAL,14:30,125.0,167.71915
1,2026-04-08,LABORAL,15:00,173.0,184.9061
1,2026-04-08,LABORAL,15:30,175.0,192.86041
1,2026-04-08,LABORAL,16:00,92.0,160.54329
1,2026-04-08,LABORAL,16:30,142.0,138.2524
1,2026-04-08,LABORAL,17:00,48.0,77.25207
1,2026-04-09,LABORAL,04:30,82.0,124.753586
1,2026-04-09,LABORAL,05:00,150.0,119.64128
1,2026-04-09,LABORAL,05:30,110.0,139.5705
1,2026-04-09,LABORAL,06:00,147.0,138.1527
1,2026-04-09,LABORAL,06:30,99.0,125.63112
1,2026-04-09,LABORAL,07:00,153.0,130.38644
1,2026-04-09,LABORAL,07:30,147.0,133.03409
1,2026-04-09,LABORAL,08:00,103.0,134.18813
1,2026-04-09,LABORAL,08:30,178.0,133.26317
1,2026-04-09,LABORAL,09:00,140.0,134.96439
1,2026-04-09,LABORAL,09:30,86.0,123.497154
1,2026-04-09,LABORAL,10:00,78.0,104.7738
1,2026-04-09,LABORAL,10:30,37.0,97.59252
1,2026-04-09,LABORAL,11:00,148.0,96.6178
1,2026-04-09,LABORAL,11:30,69.0,101.68945
1,2026-04-09,LABORAL,12:00,84.0,111.10234
1,2026-04-09,LABORAL,12:30,140.0,134.13591
1,2026-04-09,LABORAL,13:00,160.0,127.586685
1,2026-04-09,LABORAL,13:30,85.0,137.949
1,2026-04-09,LABORAL,14:00,111.0,142.41011
1,2026-04-09,LABORAL,14:30,168.0,144.08362
1,2026-04-09,LABORAL,15:00,189.0,157.47226
1,2026-04-09,LABORAL,15:30,129.0,167.9569
1,2026-04-09,LABORAL,16:00,109.0,135.44104
1,2026-04-09,LABORAL,16:30,110.0,118.42574
1,2026-04-09,LABORAL,17:00,91.0,69.55344
1,2026-04-09,LABORAL,17:30,16.0,36.947525
1,2026-04-10,LABORAL,04:30,113.0,108.333435
1,2026-04-10,LABORAL,05:00,124.0,88.12158
