route,dia_op,tipo_dia,hora,real,pred_prophet,pred_media
1,2026-04-06,LABORAL,13:00,105.0,126.55337857435354,138.9
1,2026-04-06,LABORAL,13:30,192.0,137.1522690459086,135.725
1,2026-04-06,LABORAL,14:00,174.0,147.28688488337747,148.25423728813558
1,2026-04-06,LABORAL,14:30,113.0,154.9240234200164,150.93333333333334
1,2026-04-06,LABORAL,15:00,217.0,157.78902019296368,168.26666666666668
1,2026-04-06,LABORAL,15:30,135.0,153.74399463242418,174.56302521008402
1,2026-04-06,LABORAL,16:00,151.0,141.24896624189532,143.21848739495798
1,2026-04-06,LABORAL,16:30,118.0,119.812912879035,115.16806722689076
1,2026-04-06,LABORAL,17:00,50.0,90.32509159983552,71.71818181818182
1,2026-04-06,LABORAL,17:30,20.0,55.166889257381115,37.36538461538461
1,2026-04-06,LABORAL,18:00,21.0,18.041637680532588,25.647058823529413
1,2026-04-07,LABORAL,04:30,120.0,121.60329884007756,115.45833333333333
1,2026-04-07,LABORAL,05:00,126.0,124.82274063089235,116.40336134453781
1,2026-04-07,LABORAL,05:30,137.0,130.00350242094507,133.83333333333334
1,2026-04-07,LABORAL,06:00,143.0,135.3119369159592,132.66666666666666
1,2026-04-07,LABORAL,06:30,134.0,139.25928917978845,131.91666666666666
1,2026-04-07,LABORAL,07:00,107.0,140.91934856442316,130.05833333333334
1,2026-04-07,LABORAL,07:30,187.0,139.98396541678866,133.125
1,2026-04-07,LABORAL,08:00,164.0,136.68215191112245,129.1596638655462
1,2026-04-07,LABORAL,08:30,129.0,131.61699462341352,131.71428571428572
1,2026-04-07,LABORAL,09:00,152.0,125.58312116569084,136.39495798319328
1,2026-04-07,LABORAL,09:30,91.0,119.41606503797976,120.86666666666666
1,2026-04-07,LABORAL,10:00,176.0,113.89946307558753,97.25833333333334
1,2026-04-07,LABORAL,10:30,88.0,109.72628399117293,96.075
1,2026-04-07,LABORAL,11:00,84.0,107.48663938638677,92.94166666666666
1,2026-04-07,LABORAL,11:30,134.0,107.64513185549887,100.175
1,2026-04-07,LABORAL,12:00,113.0,110.47825975098473,110.60833333333333
1,2026-04-07,LABORAL,12:30,82.0,115.9644593380321,130.925
1,2026-04-07,LABORAL,13:00,149.0,123.64828421203002,138.85
1,2026-04-07,LABORAL,13:30,211.0,132.52569840355648,135.49166666666667
1,2026-04-07,LABORAL,14:00,180.0,141.00968357717196,148.47457627118644
1,2026-04-07,LABORAL,14:30,114.0,147.0281068432121,150.69166666666666
1,2026-04-07,LABORAL,15:00,190.0,148.27855565562825,168.025
1,2026-04-07,LABORAL,15:30,194.0,142.62335778345252,174.84873949579833
1,2026-04-07,LABORAL,16:00,198.0,128.5629717147466,142.71428571428572
1,2026-04-07,LABORAL,16:30,148.0,105.69024573332817,114.59663865546219
1,2026-04-07,LABORAL,17:00,82.0,75.01321739244567,71.49090909090908
1,2026-04-08,LABORAL,04:30,126.0,104.04786527238889,115.275
1,2026-04-08,LABORAL,05:00,117.0,107.67229845832317,116.21848739495799
1,2026-04-08,LABORAL,05:30,125.0,113.52864033905705,133.56666666666666
1,2026-04-08,LABORAL,06:00,132.0,119.70165352789064,132.40833333333333
1,2026-04-08,LABORAL,06:30,189.0,124.60698323221982,131.51666666666668
1,2026-04-08,LABORAL,07:00,53.0,127.23509979487807,129.78333333333333
1,2026-04-08,LABORAL,07:30,118.0,127.22546459635925,133.34166666666667
1,2026-04-08,LABORAL,08:00,125.0,124.7926445144869,129.52100840336135
1,2026-04-08,LABORAL,08:30,184.0,120.5581469619697,131.6218487394958
1,2026-04-08,LABORAL,09:00,105.0,115.35367227696787,136.3361344537815
1,2026-04-08,LABORAL,09:30,120.0,110.05243296541809,120.09166666666667
1,2026-04-08,LABORAL,10:00,151.0,105.4604672980959,98.01666666666667
1,2026-04-08,LABORAL,10:30,70.0,102.26904248579216,95.75
1,2026-04-08,LABORAL,11:00,118.0,101.04309961380707,92.86666666666666
1,2026-04-08,LABORAL,11:30,88.0,102.20797238136444,100.425
1,2026-04-08,LABORAL,12:00,112.0,106.0013619603223,110.69166666666666
1,2026-04-08,LABORAL,12:30,146.0,112.37793963083703,130.125
1,2026-04-08,LABORAL,13:00,159.0,120.8828340704978,139.05
1,2026-04-08,LABORAL,13:30,60.0,130.53735735973373,136.33333333333334
1,2026-04-08,LABORAL,14:00,226.0,139.79535486440903,148.10169491525423
1,2026-04-08,LABORAL,14:30,125.0,146.6244819266626,150.63333333333333
1,2026-04-08,LABORAL,15:00,173.0,148.7420619870017,167.65833333333333
1,2026-04-08,LABORAL,15:30,175.0,143.9949044837853,174.52941176470588
1,2026-04-08,LABORAL,16:00,92.0,130.82683807810807,143.31932773109244
1,2026-04-08,LABORAL,16:30,142.0,108.73971662996453,114.4873949579832
1,2026-04-08,LABORAL,17:00,48.0,78.63537515931006,71.88181818181818
