route,dia_op,tipo_dia,n,demanda_media,mae_sarima,sesgo_sarima,rango_pred_sarima,rango_real,mae_media,sesgo_media,celdas_sin_media,aic,segundos
1,2026-04-02,FESTIVO,15,28.666666666666668,69.87153778659977,69.87153778659977,25.24282332312734,54.0,47.48982778415614,40.02316111748948,8,45078.67060758172,25.440591700025834
1,2026-04-03,FESTIVO,8,21.0,14.041337343936792,9.299740617085945,36.650024096741674,19.0,6.4375,2.9375,0,44943.693331952105,23.745038700057194
1,2026-04-04,SABADO,22,56.36363636363637,45.81413202105802,-44.7448892301962,45.97604262752593,107.0,38.16031312231905,27.64633240606561,0,44746.305441659395,23.703962999978103
1,2026-04-05,DOMINGO,11,24.727272727272727,31.02260667911867,31.02260667911867,11.080125941475288,12.0,11.719003174518416,11.719003174518416,0,44709.352896443845,21.628202899941243
1,2026-04-06,LABORAL,28,121.78571428571429,100.25172798587651,-100.25172798587651,17.880580975764406,197.0,27.230476741188358,-2.105460091171709,0,44617.07049044874,9.054458700004034
1,2026-04-07,LABORAL,26,139.73076923076923,58.914166397495165,-58.914166397495165,37.7319345772772,129.0,25.56850589589872,-13.393689046081867,0,44657.73181354052,22.54468709998764
1,2026-04-08,LABORAL,26,126.11538461538461,37.345481460995316,16.45191374837368,28.101493664043204,178.0,26.932030166576528,0.17501768753015,0,44640.79990702677,24.042959699989296
1,2026-04-09,LABORAL,27,115.51851851851852,33.445145211189256,-14.799949259765024,36.99785221477296,173.0,28.24555072157266,7.328588852650002,0,44652.96338764469,20.689558599959128
1,2026-04-10,LABORAL,26,128.07692307692307,46.62919574994948,-43.99515347326323,25.946678236025733,155.0,26.19891770326715,-2.094688109331675,0,44668.549868045135,25.637954699923284
1,2026-04-11,SABADO,24,77.25,45.888912133252084,39.79790145362922,24.250851801747956,146.0,22.651496545502553,4.346123542901289,0,44682.71316051726,21.617783199995756
1,2026-04-12,DOMINGO,8,30.375,12.451511691738219,10.972521578493389,22.35564481351269,15.0,5.833735617452721,5.577422486139591,0,44676.65930014179,15.915246700053103
1,2026-04-13,LABORAL,27,118.03703703703704,91.8731595197084,-91.8731595197084,27.799155506008315,189.0,27.64199674580827,4.533110865370377,0,44555.09660510744,14.102667100029066
1,2026-04-14,LABORAL,26,122.0,36.38318779566258,-20.499028571993538,38.784517845864954,140.0,28.693860676948916,3.8504510562665653,0,44692.26224552168,19.87261880002916
1,2026-04-15,LABORAL,26,108.5,29.18273245943058,-8.88063346458709,29.95309686004289,178.0,28.996586570918126,17.239816068693074,0,44677.1728756439,22.83788609993644
1,2026-04-16,LABORAL,25,115.88,46.20865087376546,-32.97235113312624,32.43672845064334,173.0,36.044323471537375,11.831568650600735,0,44670.47336985055,19.732713400037028
1,2026-04-17,LABORAL,25,124.72,32.74425592345894,-10.262924516146986,30.79560473386364,136.0,28.156076579392085,0.5399333287033824,0,44655.19737519515,9.171609799959697
1,2026-04-18,SABADO,26,71.38461538461539,43.01024641542756,43.01024641542756,38.724238496874165,80.0,13.875878783980793,8.651669882514364,0,44631.59968621207,10.47354809998069
1,2026-04-19,DOMINGO,13,30.615384615384617,12.853169870755462,3.9688987077621074,11.44668779602058,46.0,12.567757995059786,5.5179411452429346,0,44614.05066232446,10.918265599990264
1,2026-04-20,LABORAL,26,121.15384615384616,96.59797575603781,-96.47947827105662,15.806778938682879,205.0,28.520249291706513,4.140960710412582,0,44498.29097496833,8.261059000040404
1,2026-04-21,LABORAL,27,117.22222222222223,48.05653639518616,-4.53537733940667,35.70117555869922,195.0,41.44278557152889,4.699878442347248,0,44507.782621524806,8.707532400032505
1,2026-04-22,LABORAL,24,117.45833333333333,35.958507073582815,-26.176397058265874,32.97018607804334,160.0,29.294742883379246,5.530641643709825,0,44534.92473497115,25.037982300040312
1,2026-04-23,LABORAL,23,99.08695652173913,24.283492751756462,0.3060189026990261,25.249553512493335,121.0,31.216694123522355,25.521371330373476,0,44517.037151740966,25.034060599980876
1,2026-04-24,LABORAL,25,120.68,52.63288285716479,-52.63288285716479,32.63635233501221,126.0,22.311042292249578,6.227352082281294,0,44477.881919434534,25.42284869996365
1,2026-04-25,SABADO,26,73.23076923076923,50.02723647465167,50.02723647465167,23.48981996104564,106.0,24.912680516250756,7.35561937226653,0,44453.62304113674,19.294017700012773
1,2026-04-26,DOMINGO,9,28.0,15.291145407156108,12.242538947934865,13.651159235850137,43.0,12.957705087289598,8.41664228535723,0,44470.964254263745,10.570851600030437
1,2026-04-27,LABORAL,27,111.0,89.90829027352571,-89.90829027352571,18.66151004499484,186.0,29.09462260298363,10.033348243224426,0,44385.395672984494,9.962099399999715
1,2026-04-28,LABORAL,26,125.84615384615384,42.83408263861642,-31.047062885639505,27.439868537151,174.0,29.443086219046968,-2.5683057855767006,0,44383.46916704851,7.2077757000224665
1,2026-04-29,LABORAL,26,118.76923076923077,23.65132747645043,-6.347765494408542,30.64327227983904,163.0,20.040834067155103,5.7809425519477164,0,44384.82922350656,9.600111200008541
1,2026-04-30,LABORAL,25,129.48,47.5760970637099,-26.803795623473658,24.208315925139587,188.0,40.216450871618825,-4.291239364071413,0,44368.93986363328,9.146578999934718
1,2026-05-01,FESTIVO,17,36.705882352941174,63.03168323557338,63.03168323557338,25.489692640381065,58.0,21.696558567456833,-5.577951236464735,1,44370.296920172805,19.573268400039524
1,2026-05-02,SABADO,26,73.07692307692308,41.73340848775775,-40.891769514707946,37.50669611700578,135.0,22.01768590662404,7.446177030884386,0,44265.28477362083,23.73383849998936
1,2026-05-04,LABORAL,27,119.29629629629629,94.16201352929411,-94.16201352929411,25.695526249987278,197.0,27.77215065171876,1.8719270720169459,0,44126.971242280546,9.84025849995669
1,2026-05-05,LABORAL,25,133.96,42.61639505142846,-30.52290804196341,26.83720844412089,193.0,32.78309342147156,-8.349945122871794,0,44204.450371371626,11.022200100007467
