route,dia_op,tipo_dia,n,demanda_media,mae_prophet,sesgo_prophet,rango_pred_prophet,rango_real,mae_media,sesgo_media,celdas_sin_media,segundos
1,2026-04-02,FESTIVO,15,28.666666666666668,16.66126641090915,-9.045889062676038,44.69664137384109,54.0,47.48982778415614,40.02316111748948,8,0.6650368999689817
1,2026-04-03,FESTIVO,8,21.0,10.433472488224773,6.167035969553557,43.885376369815,19.0,6.4375,2.9375,0,0.6234740000218153
1,2026-04-04,SABADO,22,56.36363636363637,35.930481847299596,23.3503485472674,90.31356516393808,107.0,38.16031312231905,27.64633240606561,0,0.6521006000693887
1,2026-04-05,DOMINGO,11,24.727272727272727,15.63302377780056,9.703237002903212,55.635966887253865,12.0,11.719003174518416,11.719003174518416,0,0.5858727999730036
1,2026-04-06,LABORAL,28,121.78571428571429,32.01454008884857,-10.404129325764336,139.7473825124311,197.0,27.230476741188358,-2.105460091171709,0,0.5899928000289947
1,2026-04-07,LABORAL,26,139.73076923076923,28.702238391871422,-14.546816406910933,73.26533826318258,129.0,25.56850589589872,-13.393689046081867,0,0.6368326999945566
1,2026-04-08,LABORAL,26,126.11538461538461,31.150649932642356,-7.9263957742441855,70.10668682769165,178.0,26.932030166576528,0.17501768753015,0,0.5246257999679074
1,2026-04-09,LABORAL,27,115.51851851851852,28.52965092127899,1.358914672029367,106.7573824859867,173.0,28.24555072157266,7.328588852650002,0,0.584506000042893
1,2026-04-10,LABORAL,26,128.07692307692307,28.862253790235744,-5.386773818505431,71.90729965276212,155.0,26.19891770326715,-2.094688109331675,0,0.5483674999559298
1,2026-04-11,SABADO,24,77.25,26.173062240661682,-0.34657657947864945,127.50844435583703,146.0,22.651496545502553,4.346123542901289,0,1.2034949000226334
1,2026-04-12,DOMINGO,8,30.375,20.678417674294007,11.32881085445031,51.792320297435914,15.0,5.833735617452721,5.577422486139591,0,0.8163586999289691
1,2026-04-13,LABORAL,27,118.03703703703704,33.59044906714852,0.13979773514228047,102.27282802992916,189.0,27.64199674580827,4.533110865370377,0,0.6055109000299126
1,2026-04-14,LABORAL,26,122.0,28.139241353000962,5.47414737940584,73.41453204509874,140.0,28.693860676948916,3.8504510562665653,0,0.4879108000313863
1,2026-04-15,LABORAL,26,108.5,27.71073444357037,9.703005633201283,70.45984755127978,178.0,28.996586570918126,17.239816068693074,0,0.5559465000405908
1,2026-04-16,LABORAL,25,115.88,32.5563713537929,4.2638075210471325,44.99778016484831,173.0,36.044323471537375,11.831568650600735,0,0.6224385999375954
1,2026-04-17,LABORAL,25,124.72,29.47518616882237,-4.066416907150462,71.91366990329581,136.0,28.156076579392085,0.5399333287033824,0,0.6394424000754952
1,2026-04-18,SABADO,26,71.38461538461539,22.59030647874331,2.9405216036833943,126.86374548568017,80.0,13.875878783980793,8.651669882514364,0,0.6220240000402555
1,2026-04-19,DOMINGO,13,30.615384615384617,16.54330867384342,7.06091309141207,52.603165067458875,46.0,12.567757995059786,5.5179411452429346,0,0.5640318000223488
1,2026-04-20,LABORAL,26,121.15384615384616,33.81223289977649,-2.393100543732419,72.69360210023406,205.0,28.520249291706513,4.140960710412582,0,0.6565780000528321
1,2026-04-21,LABORAL,27,117.22222222222223,42.5383948892419,5.537903270414265,108.14116636921567,195.0,41.44278557152889,4.699878442347248,0,0.6209969000192359
