route,jornadas,observaciones,mae_densa,mae_decoder,mae_hibrido,mae_media,decoder_vs_densa_pct,hibrido_vs_densa_pct,hibrido_vs_media_pct,jornadas_gana_decoder,jornadas_gana_hibrido
1,66.0,1483.0,29.57785201011463,28.00906052656939,27.698512218633642,27.94262787527844,-5.303939863546436,-6.353875159150557,-0.8736317061315946,44.0,45.0
3,68.0,1555.0,31.658283998713827,35.11023398426951,35.122292035505424,31.137606223185173,10.903781094692079,10.941869233759881,12.797020373882306,19.0,18.0
GLOBAL,134.0,3038.0,30.642720918038187,31.64379545965816,31.498373184807317,29.577977227153017,3.266924449358144,2.792350813290345,6.492654798217057,63.0,63.0
