route,dia_op,tipo_dia,n,demanda_media,mae_sarima,mae_prophet,mae_media,sesgo_sarima,sesgo_prophet,sesgo_media,rango_pred_sarima,rango_pred_prophet,rango_real
1,2026-04-02,FESTIVO,15,28.666666666666668,69.87153778659977,16.66126641090915,47.48982778415614,69.87153778659977,-9.045889062676038,40.02316111748948,25.24282332312734,44.69664137384109,54.0
1,2026-04-03,FESTIVO,8,21.0,14.041337343936792,10.433472488224773,6.4375,9.299740617085943,6.167035969553557,2.9375,36.65002409674168,43.885376369815,19.0
1,2026-04-04,SABADO,22,56.36363636363637,45.81413202105802,35.9304818472996,38.16031312231905,-44.7448892301962,23.3503485472674,27.64633240606561,45.97604262752593,90.31356516393808,107.0
1,2026-04-05,DOMINGO,11,24.727272727272727,31.02260667911867,15.63302377780056,11.719003174518416,31.02260667911867,9.703237002903212,11.719003174518416,11.080125941475288,55.635966887253865,12.0
1,2026-04-06,LABORAL,28,121.78571428571428,100.25172798587651,32.01454008884857,27.23047674118836,-100.25172798587651,-10.404129325764336,-2.105460091171709,17.880580975764406,139.7473825124311,197.0
1,2026-04-07,LABORAL,26,139.73076923076923,58.914166397495165,28.702238391871425,25.56850589589872,-58.914166397495165,-14.546816406910931,-13.393689046081867,37.7319345772772,73.26533826318258,129.0
1,2026-04-08,LABORAL,26,126.1153846153846,37.34548146099532,31.15064993264236,26.932030166576528,16.45191374837368,-7.9263957742441855,0.17501768753015,28.101493664043204,70.10668682769165,178.0
1,2026-04-09,LABORAL,27,115.51851851851852,33.445145211189256,28.52965092127899,28.24555072157266,-14.799949259765024,1.358914672029367,7.328588852650002,36.99785221477296,106.7573824859867,173.0
1,2026-04-10,LABORAL,26,128.07692307692307,46.62919574994948,28.862253790235744,26.19891770326715,-43.99515347326323,-5.386773818505431,-2.094688109331675,25.946678236025733,71.90729965276212,155.0
1,2026-04-11,SABADO,24,77.25,45.88891213325208,26.17306224066168,22.651496545502557,39.79790145362922,-0.3465765794786494,4.346123542901289,24.25085180174796,127.50844435583704,146.0
1,2026-04-12,DOMINGO,8,30.375,12.45151169173822,20.678417674294007,5.833735617452721,10.972521578493389,11.32881085445031,5.577422486139591,22.35564481351269,51.79232029743592,15.0
1,2026-04-13,LABORAL,27,118.03703703703704,91.8731595197084,33.59044906714852,27.64199674580827,-91.8731595197084,0.1397977351422804,4.533110865370377,27.799155506008315,102.27282802992916,189.0
1,2026-04-14,LABORAL,26,122.0,36.38318779566258,28.13924135300096,28.69386067694892,-20.499028571993534,5.47414737940584,3.850451056266565,38.78451784586496,73.41453204509874,140.0
1,2026-04-15,LABORAL,26,108.5,29.18273245943058,27.71073444357037,28.99658657091813,-8.88063346458709,9.703005633201284,17.239816068693074,29.95309686004289,70.45984755127978,178.0
1,2026-04-16,LABORAL,25,115.88,46.20865087376546,32.5563713537929,36.044323471537375,-32.97235113312624,4.2638075210471325,11.831568650600737,32.43672845064334,44.99778016484831,173.0
1,2026-04-17,LABORAL,25,124.72,32.74425592345894,29.47518616882237,28.156076579392085,-10.262924516146986,-4.066416907150462,0.5399333287033824,30.79560473386364,71.91366990329581,136.0
1,2026-04-18,SABADO,26,71.38461538461539,43.01024641542756,22.59030647874331,13.875878783980792,43.01024641542756,2.9405216036833943,8.651669882514364,38.724238496874165,126.86374548568016,80.0
1,2026-04-19,DOMINGO,13,30.615384615384617,12.853169870755462,16.54330867384342,12.567757995059786,3.9688987077621074,7.06091309141207,5.517941145242935,11.44668779602058,52.60316506745888,46.0
1,2026-04-20,LABORAL,26,121.15384615384616,96.5979757560378,33.81223289977649,28.520249291706516,-96.47947827105662,-2.393100543732419,4.140960710412582,15.80677893868288,72.69360210023406,205.0
1,2026-04-21,LABORAL,27,117.22222222222224,48.05653639518616,42.5383948892419,41.44278557152889,-4.53537733940667,5.537903270414265,4.699878442347248,35.70117555869922,108.14116636921568,195.0
1,2026-04-22,LABORAL,24,117.45833333333331,35.958507073582815,30.306298070556608,29.294742883379246,-26.176397058265877,-3.392872205385657,5.530641643709825,32.97018607804334,69.80995639644941,160.0
1,2026-04-23,LABORAL,23,99.08695652173913,24.283492751756462,27.00722032291497,31.216694123522355,0.3060189026990261,18.84586122774816,25.52137133037348,25.249553512493332,44.89604300042512,121.0
1,2026-04-24,LABORAL,25,120.68,52.63288285716479,19.8076974667263,22.311042292249574,-52.63288285716479,0.3813980048839511,6.227352082281294,32.63635233501221,44.8895956875794,126.0
1,2026-04-25,SABADO,26,73.23076923076923,50.02723647465167,27.38505356908683,24.91268051625076,50.02723647465167,0.0748625121183456,7.35561937226653,23.48981996104564,125.86216201152436,106.0
1,2026-04-26,DOMINGO,9,28.0,15.291145407156108,17.780570020624918,12.957705087289598,12.242538947934865,7.983971256911829,8.41664228535723,13.651159235850136,55.08453480630335,43.0
1,2026-04-27,LABORAL,27,111.0,89.90829027352571,29.43217992831724,29.09462260298363,-89.90829027352571,2.552129344892557,10.033348243224426,18.66151004499484,136.21287257813393,186.0
1,2026-04-28,LABORAL,26,125.84615384615384,42.83408263861642,31.42099446067343,29.443086219046968,-31.047062885639505,-4.032200573980648,-2.5683057855767006,27.439868537151,105.61229703711813,174.0
1,2026-04-29,LABORAL,26,118.76923076923076,23.65132747645043,20.729424546808573,20.040834067155103,-6.347765494408542,-3.901789859560429,5.7809425519477164,30.64327227983904,68.71702342657171,163.0
1,2026-04-30,LABORAL,25,129.48,47.5760970637099,42.15177369736002,40.216450871618825,-26.803795623473658,-14.44271714551017,-4.291239364071413,24.208315925139587,69.34218940911433,188.0
1,2026-05-01,FESTIVO,17,36.70588235294117,63.03168323557338,16.95045742127124,21.696558567456837,63.03168323557338,-7.953107007767062,-5.577951236464735,25.489692640381065,44.660903356633966,58.0
1,2026-05-02,SABADO,26,73.07692307692308,41.73340848775775,26.44056658188291,22.01768590662404,-40.891769514707946,2.003234301039302,7.446177030884386,37.50669611700578,89.18475362903594,135.0
1,2026-05-04,LABORAL,27,119.29629629629628,94.16201352929411,30.32790801186034,27.77215065171876,-94.16201352929411,-3.708957661552599,1.8719270720169456,25.69552624998728,99.34499790879508,197.0
1,2026-05-05,LABORAL,25,133.96,42.61639505142846,33.56480673863992,32.78309342147156,-30.52290804196341,-9.028169619822693,-8.349945122871794,26.83720844412089,71.68098702971348,193.0
1,2026-05-06,LABORAL,25,107.6,37.432128912755935,32.663059346545026,34.51657263309987,10.724011199724044,7.906244232903837,14.778582251627206,28.10536686245895,69.51948353711161,168.0
1,2026-05-07,LABORAL,27,114.14814814814817,40.055578236269575,22.01730844991209,22.899129333196655,-31.97782275930982,-1.3459072058100348,6.580017395466332,24.827270447762032,103.11314055093268,196.0
1,2026-05-08,LABORAL,26,116.5,38.77347128127573,33.52640985057507,33.58155325247345,-30.40773165503477,3.4580940850334225,7.361702119756365,34.80021006473892,71.14668754791234,204.0
1,2026-05-09,SABADO,25,75.8,36.33249030214272,32.18522773265623,27.12858834209269,21.0241189191298,0.4166702432268965,4.526008313425705,29.46361355015237,88.96676060985958,130.0
1,2026-05-10,DOMINGO,10,37.2,14.21531137289739,17.24396482126313,12.008475734791524,0.5926636569183522,-6.078264990978485,-1.5532580113385066,16.76197868388843,51.27956290297848,39.0
1,2026-05-11,LABORAL,26,105.57692307692308,75.59961085327588,30.62023333699138,30.23442972742926,-75.59961085327588,12.289688701975754,18.09557184673779,18.758838659757316,72.30920658420811,182.0
1,2026-05-12,LABORAL,26,116.46153846153848,31.773897748232905,22.54767817063509,24.49751352683692,-22.08911965454197,6.874155299954399,6.979246944933975,30.807514864317227,71.44306381315948,148.0
1,2026-05-13,LABORAL,26,116.1153846153846,40.1843777556276,33.134804094191715,34.118081173713136,-25.4431760013072,-2.149850439846817,7.166538007069823,26.57729597766064,68.93883669540656,174.0
1,2026-05-14,LABORAL,27,110.1851851851852,28.39986199714533,18.7015440396315,21.41270492710944,-10.529998036699917,1.690201233654066,9.792013160963128,34.98124123574688,101.86899491345952,196.0
1,2026-05-15,LABORAL,26,121.03846153846152,46.86804545176718,26.703797987959355,26.79269846601148,-45.98325901689664,-3.1084884902397394,2.0203865742692426,33.81485716531253,70.97583286318745,163.0
1,2026-05-16,SABADO,25,80.2,42.41988952484965,34.62639934042423,26.256848829431437,38.944208338954994,-5.23452964809893,-0.4786588628762544,27.06052633016334,89.20199771679087,146.0
1,2026-05-17,DOMINGO,8,31.25,13.959834485167598,15.746803767657129,11.54289483736078,5.412728714478932,0.8107811509359228,4.333803928269873,21.23461054895175,37.07020003036252,43.0
1,2026-05-18,FESTIVO_PUENTE,13,28.615384615384617,12.775095507601804,17.160755361970043,12.506410256410255,1.7221325928501487,-13.307446948029536,-2.8782051282051286,17.45940676973954,44.94703014404607,42.0
1,2026-05-19,LABORAL,26,127.07692307692308,107.81510723209394,27.76788247098181,26.675089183212545,-107.81510723209394,-4.174852940707332,-4.098674664348097,25.290646525225576,72.16515729165211,180.0
1,2026-05-20,LABORAL,26,117.03846153846152,41.51628813883596,33.38488091269433,35.42537484885555,11.21678349798722,-2.6191746284298083,5.763531909662837,29.51780567971997,69.40810710282268,223.0
1,2026-05-22,LABORAL,26,108.42307692307692,30.02659180850327,28.826015656012245,29.242730189406505,-1.7709527133022849,10.159301226146985,14.21010362793379,34.63314000622525,71.01458917790748,162.0
1,2026-05-23,SABADO,23,79.95652173913044,33.01785359982675,25.08148598968938,25.205570999666406,16.549117400569227,-4.106085691039561,1.120807779269917,23.263220570941115,59.0726475046504,124.0
1,2026-05-24,DOMINGO,12,27.58333333333333,22.438809828698027,19.065878986150523,11.441985994956196,22.438809828698027,11.255525345010994,9.178097106067309,22.440490539143788,54.25196609886444,34.0
1,2026-05-25,LABORAL,27,114.37037037037037,94.8937824382038,31.014316630293383,27.91669927636892,-94.8937824382038,-0.7770594098009432,4.855706154264679,21.47705507855164,98.0016181211272,181.0
1,2026-05-26,LABORAL,26,121.76923076923076,33.18815498137832,27.142249758193483,28.787028279642747,-19.50609966900266,0.1098790358124666,0.5455297731641775,32.30162072014696,71.94149775377612,164.0
1,2026-05-27,LABORAL,25,116.16,36.866291619528944,31.96042516430842,32.27381810833456,-2.494937684499167,-3.213737018825606,5.645191453943198,26.257293561657438,68.96724080563185,188.0
1,2026-05-28,LABORAL,26,112.3076923076923,35.85788462750388,30.3292634922211,29.855196697513023,-17.238800423524363,1.9307353667577611,9.856578267090002,34.6676159857912,70.32602910025307,162.0
1,2026-05-29,LABORAL,26,114.8846153846154,34.31063291611892,24.25204599347902,23.125947078077225,-28.336476135436516,1.8272257814400856,7.077126780727515,32.780109095174765,71.179925425741,126.0
1,2026-05-30,SABADO,23,73.34782608695652,33.45030047394777,22.36866175135023,23.73085720517668,24.495433028633784,4.886615080441021,8.486940284038583,22.831336708890237,44.00250411135853,120.0
1,2026-05-31,DOMINGO,9,43.11111111111112,22.52450298517468,30.86032117457407,19.294281858587844,11.66321679269813,-6.6895722602345415,-5.760331241303892,25.061977458960435,51.64218796573884,62.0
1,2026-06-01,LABORAL,25,114.4,78.78063750563801,31.90608748873862,31.28328863714108,-78.78063750563801,2.393047512454161,9.46986006571251,20.2035779672288,74.16994863251064,143.0
1,2026-06-02,LABORAL,26,118.26923076923076,38.98131370377052,31.523838641170677,30.77236544580092,-10.87282444362654,3.179951443758543,3.2590288986657745,26.192728418279174,71.61759468184654,162.0
1,2026-06-03,LABORAL,25,113.84,29.221755285440896,23.359608339450546,24.38010028887696,-22.75637721456318,0.7170155416307858,9.581154613083823,30.254250621738198,46.696421311625215,150.0
1,2026-06-04,LABORAL,26,103.57692307692308,30.1760382675358,26.57724864641737,27.794154501524694,7.097686211031218,9.259376918169435,17.53869839403239,24.129282049091827,69.87607701645196,142.0
1,2026-06-05,LABORAL,26,114.57692307692308,46.930873104223664,27.687557141070084,27.006827176652315,-40.26748125641777,0.9180359753352788,6.2104250825682685,17.694064386508558,70.9483473240539,249.0
1,2026-06-06,SABADO,21,84.80952380952381,31.86822523537054,25.7146825015433,25.056898656898657,13.68984711335671,-6.600488519118634,-4.450586080586079,34.42446006849988,43.7677297966794,119.0
1,2026-06-07,DOMINGO,17,29.647058823529413,40.2980645939985,17.600763414232432,10.355925852048458,40.2980645939985,5.245296912495104,4.899712588711089,21.550647196388248,52.94113859890079,52.0
1,2026-06-08,FESTIVO_PUENTE,8,24.625,5.7903674392354745,19.090498059814745,15.59375,1.1544709273326252,2.4116425393531147,7.218749999999999,15.159853422889622,50.110741231589856,38.0
1,2026-06-09,LABORAL,25,114.64,98.89527330441943,28.00103604881175,26.31882367427632,-98.89527330441943,7.666149109968387,8.083542772171887,14.678720650297697,43.79356843714574,137.0
1,2026-06-10,LABORAL,24,91.83333333333331,35.665058195225555,39.140209719179786,42.339035197774606,22.508680494363265,22.286720429280148,31.52473781215369,25.51774066561336,46.49477480121034,130.0
3,2026-04-02,FESTIVO,19,31.0,60.18346979730087,17.10882186467145,61.93377202925699,60.18346979730087,-5.557333698624324,47.354824660835945,66.16389390990008,80.44703998298701,51.0
3,2026-04-03,FESTIVO,11,21.818181818181817,19.315352890866524,14.613727882617086,10.515151515151514,-0.0270633230783736,13.287936560271502,8.212121212121211,40.85575049754476,61.20227216186203,34.0
3,2026-04-04,SABADO,23,60.17391304347826,38.60435731166468,44.171422343316856,43.75151783943844,-38.36829852099534,36.82381751256551,41.6991694317025,29.531137302766915,192.5756120675408,82.0
3,2026-04-05,DOMINGO,11,27.181818181818183,25.84382747955763,15.317022809368249,8.666173255865067,25.84382747955763,4.63177962117375,7.643445983137794,26.21116663820178,56.17481027778911,21.0
3,2026-04-06,LABORAL,27,146.85185185185185,125.95402177604876,30.138589738781235,29.864274893669283,-125.91481815732465,-9.33912533951168,-1.4899831577425386,30.57138609531859,204.74627989556052,287.0
3,2026-04-07,LABORAL,26,163.5,55.59514747935405,39.86802734420284,37.359920678252486,-44.70343124173079,-16.0049944223075,-14.080041790005565,84.56108026364645,196.4918140723158,316.0
3,2026-04-08,LABORAL,27,146.40740740740742,41.90257749679491,36.3553032992371,33.22068594798877,-9.74629903133177,-11.32751655921734,-0.5851297915214348,108.94652059649329,199.1657552425341,295.0
3,2026-04-09,LABORAL,27,139.2962962962963,52.94209765637433,41.40469739953519,35.43687471352355,-37.754775114923554,-3.879872434120136,6.502997919190216,109.84140938921756,197.95947546163077,310.0
3,2026-04-10,LABORAL,27,143.03703703703704,52.17002049671693,42.304900552717015,35.605342317211246,-41.01146695277854,-5.694797604219942,2.614109089560961,106.17273640246373,198.395945525037,379.0
3,2026-04-11,SABADO,24,98.04166666666669,33.84304181957612,29.92446202545278,26.61532603806059,7.010769822789008,-7.8997338701118975,-0.0139474662129123,124.35568122336572,208.09178031591452,214.0
3,2026-04-12,DOMINGO,8,28.375,36.41259146413977,9.884734098847844,7.602773268398268,36.06289121163306,0.7412026714188755,7.602773268398268,81.74564791143739,24.947261429944035,17.0
3,2026-04-13,LABORAL,27,131.07407407407408,111.5689970346911,41.21610619939606,38.51443944894282,-111.06901739533272,11.814407342125374,14.481444805286314,44.77026319247676,207.60288185714137,269.0
3,2026-04-14,LABORAL,28,140.07142857142858,58.7858061959127,36.515732457774206,31.218860049732232,-37.46352455214009,1.928440735504856,1.3937835071423212,81.39589862974883,240.99353121849865,352.0
3,2026-04-15,LABORAL,27,134.66666666666666,51.36878979362197,32.33160067410888,30.02139591305806,-37.706518441669886,1.6455848272003706,10.59211613163924,116.03153795916164,200.7050909001726,293.0
3,2026-04-16,LABORAL,27,130.37037037037038,44.48688254536592,31.23156918554091,28.383345832805908,-32.61469788336362,5.182665510025946,14.66075531511735,109.45262871647893,197.7055335508564,284.0
3,2026-04-17,LABORAL,26,145.0,46.678702162854286,33.852996101930884,28.29939639198063,-42.337664698200754,-8.896984566846358,0.5535243963863002,101.0989479232496,201.1422247249002,240.0
3,2026-04-18,SABADO,25,83.96,43.96987176785923,26.69608940862689,22.346416000170688,30.357627864264035,5.82900818653922,12.641421128375818,99.76776621612836,195.24411461007253,196.0
3,2026-04-19,DOMINGO,11,31.63636363636364,34.45758536721129,17.367546992428196,8.170267911415165,24.985889662732085,4.475006505351427,1.9495468166531504,69.52265027536815,58.90317746699935,29.0
3,2026-04-20,LABORAL,27,135.85185185185185,121.21758846377789,35.18867561191961,32.551231795366256,-121.21758846377789,3.8394857747544338,8.90459006152512,26.747863164443647,207.62994977362143,251.0
3,2026-04-21,LABORAL,27,147.92592592592592,56.50396591819381,35.21866550995058,31.844276316756496,-33.34085777882711,-5.631277630420157,-4.881518353105973,78.80616896489965,282.88330632677383,330.0
3,2026-04-22,LABORAL,27,130.1851851851852,40.18875448447071,41.304538151228606,37.89515827465068,-20.847731445645664,4.600484656305679,14.19704542661034,112.34404365332892,200.2619086932309,483.0
3,2026-04-23,LABORAL,22,130.1818181818182,49.41549738301546,30.3407060784012,30.29147806002784,-33.91276532534211,9.399458491953878,19.91452143214753,150.61710912650346,200.82615144879736,256.0
3,2026-04-24,LABORAL,25,131.08,61.00853242748733,39.99999220135042,39.99218988152529,-39.13192992635401,6.9277316067137376,17.4270488799244,88.33660373474933,200.11262146257576,290.0
3,2026-04-25,SABADO,23,96.30434782608695,36.82356861056172,27.01012506362529,20.59227398310574,-0.1582370216716912,-5.420868698993097,2.878811717582983,77.31411785117044,195.0509845285261,181.0
3,2026-04-26,DOMINGO,10,30.8,39.44333850169872,12.999308052661968,7.6988853163483,39.44333850169872,4.106710858213001,4.137120610465947,61.99269298680609,59.20296965250077,25.0
3,2026-04-27,LABORAL,28,137.32142857142858,115.94666539061208,42.99667092250631,33.73994331908481,-115.94666539061208,-3.7578316785080585,2.582828956051034,43.46370361953308,206.70304293628905,371.0
3,2026-04-28,LABORAL,27,136.25925925925927,51.736071470492845,34.68234514953983,30.053047414546,-38.92272187387363,7.830525244038797,7.538555820617969,109.78984488301626,206.20537381931467,324.0
3,2026-04-29,LABORAL,26,149.84615384615384,47.43971185153514,37.13428780422791,33.5521540180543,-39.680733928585695,-15.085755028603598,-2.662498787294245,102.04302718603834,200.46553035154216,383.0
3,2026-04-30,LABORAL,27,146.40740740740742,46.89479634403413,36.79603523521441,32.321454458887864,-28.30243628605868,-14.76153881707678,-2.862374998263547,134.8914934959173,199.28370607437864,322.0
3,2026-05-01,FESTIVO,18,33.44444444444444,82.96572246729545,16.519179286734634,17.083333333333332,82.96572246729545,-7.945259710201842,-8.935185185185185,106.01838483434489,66.04366753202618,54.0
3,2026-05-02,SABADO,26,81.76923076923077,63.42444547025228,30.66777684036928,26.164813755744927,-61.2314261912253,3.183329726367405,11.685774845936786,50.8258712349359,208.73705968184183,172.0
3,2026-05-03,DOMINGO,8,28.5,45.26083855285893,6.939244000876634,8.041991851565188,45.26083855285893,3.8968798447256248,5.963866851565188,39.47410867353418,26.185020552025943,24.0
3,2026-05-04,LABORAL,27,141.85185185185185,119.42193850840368,36.47357005865445,28.60189475558244,-119.42193850840368,-3.6348785174907534,1.6162347361532443,28.620000662672155,208.45260458113077,276.0
3,2026-05-05,LABORAL,27,140.77777777777777,50.12014563819724,40.62670732464348,37.81204652322209,-20.69336782417742,3.381103824171974,2.67908763552086,81.05557023330496,207.1080413442401,255.0
3,2026-05-06,LABORAL,23,124.21739130434784,39.79642729969783,39.58935372655152,36.72034492383948,-7.526730895979965,13.850415573393326,24.365341154455336,89.36619597924128,201.4199158530713,239.0
3,2026-05-07,LABORAL,26,142.46153846153845,74.50115626065951,36.88694162786952,31.09111304061182,-53.035703635611554,-7.637336159193501,3.8924437737298825,81.79260843955649,200.25006525652043,252.0
3,2026-05-08,LABORAL,26,136.73076923076923,45.59417338494981,36.51834945379404,31.328928567868157,-21.14098535504194,0.1794119998532218,9.492588892175036,67.0273045790539,201.74646155175088,297.0
3,2026-05-09,SABADO,25,91.72,34.104298701702625,24.63537697731817,17.97854540547172,14.025853365433647,-8.325197238724664,0.6068018157281321,95.28035733635043,235.5149380574896,184.0
3,2026-05-10,DOMINGO,9,36.0,26.08710476237345,22.02884556456859,11.680584035847192,23.088360342257616,3.6753410466221417,-2.900132461277972,68.67200740673312,56.268207543782296,49.0
3,2026-05-11,LABORAL,26,135.73076923076923,114.99255884435078,42.47262793523086,44.327964367445695,-114.69973636580472,4.446037388205785,10.20938602423809,32.41016538663272,207.89894853869208,275.0
3,2026-05-12,LABORAL,27,145.25925925925927,60.40721007183474,43.68136737843435,35.775514201995534,-39.20620538044659,-2.734804936097724,-3.023807105383424,78.19862112641118,206.3800813714232,326.0
