route,dia_op,tipo_dia,n,demanda_media,mae_cnn_lstm,sesgo_cnn_lstm,rango_pred_cnn_lstm,rango_real,mae_media,sesgo_media,celdas_sin_media,epocas,ejemplos_ajuste,segundos
1,2026-04-02,FESTIVO,15,28.666666666666668,62.839958084017574,62.839958084017574,45.6832483994585,54.0,12.513333333333332,3.262222222222222,0,190,347,1.5780800000065938
1,2026-04-03,FESTIVO,8,21.0,31.130581335595352,29.88991079225199,41.56681433334228,19.0,13.222916666666666,13.222916666666666,0,323,347,1.4721574999857694
1,2026-04-04,SABADO,22,56.36363636363637,28.225780871598374,16.447407126440023,69.70929271263935,107.0,40.679638847132374,32.36634723261422,0,379,347,1.6610071000177413
1,2026-04-05,DOMINGO,11,24.727272727272727,39.077231205008246,39.077231205008246,50.778501252984796,12.0,11.678479319886668,11.678479319886668,0,480,347,2.094043100019917
1,2026-04-06,LABORAL,28,121.78571428571429,26.563318105614744,-5.9914899410138736,154.22698628043918,197.0,26.975298037408276,3.308795729204729,0,210,347,0.9575540999649093
1,2026-04-07,LABORAL,26,139.73076923076923,28.220343645815806,-14.593803789562656,107.16596281913763,129.0,23.179854832387132,-7.427697709992371,0,339,347,1.5566664000507444
1,2026-04-08,LABORAL,26,126.11538461538461,29.98145175770001,6.744328870046482,120.37443459379402,178.0,28.663387312407284,6.158816105605784,0,321,347,1.4147409999277443
1,2026-04-09,LABORAL,27,115.51851851851852,25.173624385531344,1.3612036543998796,136.35898632432585,173.0,29.192886998967865,13.245751577408358,0,312,347,1.418616099981591
1,2026-04-10,LABORAL,26,128.07692307692307,29.93487265538186,-14.718870107645879,84.66372020359913,155.0,26.477182229205205,4.050613243054939,0,385,347,1.7081506999675184
1,2026-04-11,SABADO,24,77.25,39.38556708677418,25.394215648353622,61.33514077925079,146.0,22.318430617900678,8.917048388895713,0,83,347,0.38247009995393455
1,2026-04-12,DOMINGO,8,30.375,4.157192599877092,3.23798891064898,6.1665824793388,15.0,5.206088378093984,4.763253012240325,0,394,347,1.7083771000616252
1,2026-04-13,LABORAL,27,118.03703703703704,29.52065805945667,-5.20325027257595,171.290680608973,189.0,29.51727219708768,10.555875319454579,0,383,347,1.693923500017263
1,2026-04-14,LABORAL,26,122.0,27.621459268717523,-6.460628433367296,103.85265892299684,140.0,30.64575437483254,9.949885551087439,0,388,347,1.7568136000772938
1,2026-04-15,LABORAL,26,108.5,25.318399027799277,4.736305559649456,94.25652980004406,178.0,32.36149078895692,23.41493413926938,0,382,347,1.7190406000008807
1,2026-04-16,LABORAL,25,115.88,33.22635939575986,-1.3036349301518555,73.80252820922593,173.0,36.54986815152658,18.253505201010483,0,170,347,0.8082450999645516
1,2026-04-17,LABORAL,25,124.72,29.76136370916658,-4.568415909379063,76.06945384809922,136.0,28.338652472415887,7.034630433848397,0,279,347,1.2182080000638962
1,2026-04-18,SABADO,26,71.38461538461539,14.954920136170923,6.584199818170483,89.57563931201467,80.0,14.575443918013711,13.26781962365202,0,143,347,0.6791496000951156
1,2026-04-19,DOMINGO,13,30.615384615384617,11.194615337244617,-0.7305895012761064,8.895314953075754,46.0,13.420439113947216,6.074008129699115,0,147,347,0.661882400047034
1,2026-04-20,LABORAL,26,121.15384615384616,30.3364141288596,5.124204981754281,115.89219232970368,205.0,29.27204792030785,10.611713110900347,0,241,347,1.1069568999810144
1,2026-04-21,LABORAL,27,117.22222222222223,38.75222190642872,-6.353717505132259,116.2599573499387,195.0,43.71559291361028,11.028422616521754,0,296,347,1.3495001000119373
1,2026-04-22,LABORAL,24,117.45833333333333,31.587157306258234,7.614132644824768,87.52532315709252,160.0,30.871508113213267,12.200572999471975,0,149,347,0.7060733999824151
1,2026-04-23,LABORAL,23,99.08695652173913,34.93254796076694,22.721744396267454,109.16945797564111,121.0,35.52599499945774,31.81323662454683,0,357,347,1.5758820999180898
1,2026-04-24,LABORAL,25,120.68,51.13459374442222,-50.84121907747235,47.10358933299936,126.0,23.1448442764384,12.997903711100752,0,156,347,0.7159009999595582
1,2026-04-25,SABADO,26,73.23076923076923,31.692079005060496,16.583636883647145,80.0262458966311,106.0,25.913436832395686,12.752339455358563,0,103,347,0.5148791999090463
1,2026-04-26,DOMINGO,9,28.0,7.490422088278016,0.7868716435737058,8.843452346792262,43.0,12.516697061244138,7.796743906508376,0,116,347,0.6010518999537453
1,2026-04-27,LABORAL,27,111.0,28.831921559878122,6.058805787192126,133.54415301637655,186.0,32.01968555038508,16.263587044809412,0,118,347,0.5571991000324488
1,2026-04-28,LABORAL,26,125.84615384615384,27.13616412840287,2.2179345172393568,115.16165751721158,174.0,28.37027783941228,3.9832524893384122,0,119,347,0.5561175000621006
1,2026-04-29,LABORAL,26,118.76923076923077,21.437180758320682,7.231021919283496,121.61528028784004,163.0,22.38960999279737,12.353207124585072,0,119,347,0.5586823000339791
1,2026-04-30,LABORAL,25,129.48,42.547138896084434,-3.0953796676018506,77.09651748204718,188.0,39.795056627500855,2.2335418018333395,0,117,347,0.5590972999343649
1,2026-05-01,FESTIVO,17,36.705882352941174,60.30239857852158,60.30239857852158,32.16579076296644,58.0,14.870588235294118,-7.590196078431372,0,117,347,0.5628692000173032
1,2026-05-02,SABADO,26,73.07692307692308,30.688935389090968,12.06861287661092,77.32469455605117,135.0,24.76383240249574,12.912690052064447,0,118,347,0.5465038999682292
1,2026-05-05,LABORAL,25,133.96,33.28716734908272,-3.1309098933700397,81.37055795766929,193.0,31.12877877122792,-1.8673916764179364,0,111,347,0.5521143999649212
1,2026-05-06,LABORAL,25,107.6,43.173081945874536,30.412900781983186,90.89172811218761,168.0,36.39466711412611,20.981392235426057,0,104,347,0.49385019997134805
1,2026-05-07,LABORAL,27,114.14814814814815,22.568210346482587,-10.603055290304935,112.85820590539835,196.0,25.283474574089155,12.875947797985646,0,104,347,0.5105054000159726
1,2026-05-08,LABORAL,26,116.5,32.25871115393845,-10.116341677598127,81.46419439199775,204.0,33.12883014513071,13.781130415808203,0,145,347,0.7051569999894127
1,2026-05-09,SABADO,25,75.8,33.12241666900149,6.004816820919624,66.37165845118697,130.0,27.55981650433637,10.50006033255223,0,111,347,0.5192643000045791
1,2026-05-10,DOMINGO,10,37.2,10.428026702430975,-7.386731238706429,7.168227615852103,39.0,12.780462662337662,-1.3386661255411254,0,171,347,0.7763292999006808
1,2026-05-11,LABORAL,26,105.57692307692308,33.36555679511234,16.71443442421235,106.54855370556471,182.0,35.204555229488626,24.556689900465933,0,545,347,2.3913566000992432
1,2026-05-12,LABORAL,26,116.46153846153847,23.508427927160213,4.95850549159841,109.90106040033567,148.0,25.308559648517228,13.506881902395037,0,128,347,0.5966149000450969
1,2026-05-13,LABORAL,26,116.11538461538461,34.307883269624526,5.2491516678844565,110.4832122285418,174.0,36.02392663132433,13.717762802280353,0,137,347,0.6356021000538021
1,2026-05-14,LABORAL,27,110.18518518518519,19.519321553440726,11.171698905626886,145.9495941216244,196.0,23.268067308176,16.13495085501637,0,159,347,0.72603529994376
1,2026-05-15,LABORAL,26,121.03846153846153,28.906360890392484,-12.080618855473954,88.32560743346315,163.0,27.823670431375735,8.53693828375346,0,150,347,0.6802563000237569
1,2026-05-16,SABADO,25,80.2,28.120239458337668,5.962789892655037,63.74455133430264,146.0,27.6640099738253,5.465429987984809,0,140,347,0.6129798999754712
1,2026-05-17,DOMINGO,8,31.25,10.108417868873426,-0.17203066941477196,8.833413799830112,43.0,10.794308483425489,4.72244559582859,0,142,347,0.6441966000711545
1,2026-05-18,FESTIVO_PUENTE,13,28.615384615384617,73.54610277999451,73.54610277999451,40.03812647410541,42.0,10.925641025641026,1.4641025641025638,0,140,346,0.644269899930805
1,2026-05-19,LABORAL,26,127.07692307692308,31.91914013747835,0.09110020947184776,136.2845092939595,180.0,26.852016328932546,2.3199235220587364,0,341,345,1.4902362999273464
1,2026-05-20,LABORAL,26,117.03846153846153,37.79435290974109,2.139067574448205,103.2854808854498,223.0,36.138423686755814,12.209935122860795,0,346,345,1.5625478000147268
1,2026-05-23,SABADO,23,79.95652173913044,28.897572161132178,10.584724616943982,60.5862185925973,124.0,25.02914239900756,7.350260880698967,0,337,345,1.6063034000108019
1,2026-05-24,DOMINGO,12,27.583333333333332,8.16734747083631,5.668555966343553,15.537820045222432,34.0,9.549859757107892,8.468487208088286,0,323,345,1.5774055999936536
1,2026-05-25,LABORAL,27,114.37037037037037,30.000478073644658,6.104297334046627,152.87429766420604,181.0,29.27145758202059,11.21345231175642,0,366,345,2.0445258000399917
1,2026-05-26,LABORAL,26,121.76923076923077,34.48408818270187,-10.971492960656938,103.43091061482039,164.0,29.308861547543096,7.0713173284256365,0,337,345,1.8707821000134572
1,2026-05-27,LABORAL,25,116.16,35.434662282989905,4.078446425795405,73.14180578779839,188.0,33.59228896893959,12.029571879434679,0,281,345,1.4953415000345558
1,2026-05-28,LABORAL,26,112.3076923076923,31.29088917770817,2.4164817998830674,106.76192364080667,162.0,31.334095524872588,16.444082179422608,0,320,345,1.813428599969484
1,2026-05-29,LABORAL,26,114.88461538461539,23.577547352179547,-7.056412542849473,95.14773644156108,126.0,25.609965978672708,13.858357534306815,0,270,345,1.5963638999965042
1,2026-05-30,SABADO,23,73.34782608695652,22.70228716398223,5.498245630507145,68.86077829990094,120.0,27.19124626788024,14.871026313393074,0,296,345,1.764599799993448
1,2026-05-31,DOMINGO,9,43.111111111111114,20.94545469819787,-14.009327531987871,8.38577150732587,62.0,16.796209063351505,-6.365928721593296,0,311,345,1.5265521999681368
1,2026-06-01,LABORAL,25,114.4,33.72025918168726,12.58736338524949,84.57239789976038,143.0,33.937941436081516,16.497787806233436,0,151,345,0.6870301999151707
1,2026-06-02,LABORAL,26,118.26923076923077,31.946141421210584,1.1169658866400263,122.7165735234062,162.0,31.685767627165966,10.260952262956666,0,227,345,1.1231898999540135
1,2026-06-03,LABORAL,25,113.84,27.763191411236015,10.796313635974844,81.9520778053328,150.0,28.251820208878677,16.84297828107133,0,144,345,0.8777604999486357
1,2026-06-04,LABORAL,26,103.57692307692308,24.5361346626479,14.269672944235298,101.36528743143217,142.0,30.168362557341215,24.641891161172854,0,101,345,0.6461813000496477
1,2026-06-05,LABORAL,26,114.57692307692308,30.149188538585438,-20.571519961774396,74.85215404960972,249.0,30.284882687237108,13.43904670503749,0,128,344,0.9178485000738874
1,2026-06-06,SABADO,21,84.80952380952381,26.228158840353608,2.169094988975236,43.51513365942405,119.0,25.26201611943975,1.8625596984175945,0,102,343,0.7295753000071272
1,2026-06-07,DOMINGO,17,29.647058823529413,19.220440784238765,17.504165494866648,26.43376630857604,52.0,10.75474385023854,5.770252915355207,0,187,343,1.1033870000392199
1,2026-06-08,FESTIVO_PUENTE,8,24.625,59.59000932167762,59.59000932167762,36.45797209296482,38.0,14.826984126984126,7.104761904761904,0,224,343,1.271046799956821
1,2026-06-09,LABORAL,25,114.64,29.955596860359947,13.924750286544167,117.46385857052942,137.0,29.03419461461897,15.501805481944919,0,405,343,2.2507411999395117
1,2026-06-10,LABORAL,24,91.83333333333333,43.90883172457739,35.856923608215084,96.72060173781644,130.0,45.74492410841733,38.75771230726739,0,264,343,1.3939964000601321
3,2026-04-02,FESTIVO,19,31.0,17.15300667349299,-4.572319198778092,95.7944444920026,51.0,13.672305764411027,2.113408521303258,0,394,341,2.1788393000606447
3,2026-04-03,FESTIVO,11,21.818181818181817,15.760331880155377,0.8659055115614688,39.735515454581915,34.0,12.960930735930736,11.892748917748918,0,520,341,3.1849775000009686
3,2026-04-04,SABADO,23,60.17391304347826,32.986664340447,24.540469634763735,159.2932965042633,82.0,47.07349304062829,46.838525418056605,0,438,341,1.9225236000493169
3,2026-04-05,DOMINGO,11,27.181818181818183,55.500221563681365,55.500221563681365,156.12338752017564,21.0,9.157055259368201,9.11549681780976,0,93,341,0.41487039998173714
3,2026-04-06,LABORAL,27,146.85185185185185,30.93583057328339,7.021332502224353,238.95536113604018,287.0,31.358159050871656,6.8873735697164955,0,115,341,0.4938779000658542
3,2026-04-07,LABORAL,26,163.5,39.26302827318907,-19.991712571070217,232.962376817441,316.0,35.93718220798784,-5.28007902778375,0,277,341,1.1721362000098452
3,2026-04-08,LABORAL,27,146.40740740740742,35.723782465543295,11.22185909796951,260.8598549479408,295.0,35.12255342652251,8.036006334195028,0,118,341,0.5061201000353321
3,2026-04-09,LABORAL,27,139.2962962962963,38.378373208252846,0.4331715494483272,219.1413062888066,310.0,38.76949037268023,15.067404933999581,0,107,341,0.5002095999661833
3,2026-04-10,LABORAL,27,143.03703703703704,45.13544665216667,-23.877827046932563,184.88214810010794,379.0,38.99581532603669,11.193249536001506,0,108,341,0.5233115000883117
3,2026-04-11,SABADO,24,98.04166666666667,26.122102509640513,-0.8953061295708853,156.9596768023496,214.0,26.82823146408754,5.031496019631051,0,244,341,1.074553499929607
3,2026-04-12,DOMINGO,8,28.375,5.786585976527455,2.3728290834134036,10.150070627127462,17.0,8.112272095753216,8.112272095753216,0,220,341,1.0022624999983236
3,2026-04-13,LABORAL,27,131.07407407407408,39.08906536547471,17.109438183975275,262.4135427703748,269.0,40.97946748586604,23.040055934584753,0,364,341,1.7738216000143439
3,2026-04-14,LABORAL,28,140.07142857142858,34.17295212027822,0.9432911718243412,231.51557234051597,352.0,33.30192091454775,9.650887114226764,0,115,341,0.567282099975273
3,2026-04-15,LABORAL,27,134.66666666666666,28.789666436021438,12.568627562190663,231.05631067837896,293.0,31.295134715254473,19.322617799878778,0,117,341,0.5907628000713885
3,2026-04-16,LABORAL,27,130.37037037037038,28.3511132609478,4.357500268436394,203.05348616945184,284.0,33.19483699617301,23.581174098280894,0,117,341,0.5909737999318168
3,2026-04-17,LABORAL,26,145.0,36.31688596582762,-30.003936653032213,159.22469722158166,240.0,29.883164427190103,9.683455926505031,0,123,341,0.572874299949035
3,2026-04-18,SABADO,25,83.96,23.189110458120258,16.23572646580253,160.60412716032062,196.0,25.009550497759964,18.159410441737556,0,139,341,0.6447573999175802
3,2026-04-19,DOMINGO,11,31.636363636363637,10.100332742755633,-0.858727618774633,12.729242385089336,29.0,9.451569344693816,2.8186403454373425,0,209,341,1.1647571999346837
3,2026-04-20,LABORAL,27,135.85185185185185,34.65795239817332,13.216374529641662,239.0641842897952,251.0,34.211023253228554,17.962962139081274,0,272,341,1.1987590999342501
3,2026-04-21,LABORAL,27,147.92592592592592,32.529474849343416,-13.148027114687453,234.4810737961786,330.0,29.938891885799826,4.286321613089091,0,224,341,0.9490159000270069
3,2026-04-22,LABORAL,27,130.1851851851852,42.444076535914284,22.572697956117874,258.7362227222542,483.0,43.42955614226212,23.39085446121118,0,238,341,1.0395156000740826
3,2026-04-23,LABORAL,22,130.1818181818182,35.15176031042713,8.056032864659347,194.24747849503018,256.0,34.204356991359745,29.081311110572514,0,279,341,1.2299146000295877
3,2026-04-24,LABORAL,25,131.08,47.62499777082494,-6.965985575185266,152.4361986674918,290.0,40.52254293329962,26.935124580204164,0,275,341,1.2451019999571145
3,2026-04-25,SABADO,23,96.30434782608695,25.886245375049363,-11.769565178935812,131.27818090944055,181.0,22.270941022184644,10.10248835683757,0,143,341,0.6391226999694481
3,2026-04-26,DOMINGO,10,30.8,8.417780629342348,2.8787255915850762,16.171653085283765,25.0,8.940696649032514,4.530696649032514,0,136,341,0.563659599982202
3,2026-04-27,LABORAL,28,137.32142857142858,38.203536550975564,10.799069518639138,268.81178063143847,371.0,37.73395478308008,11.577139641425637,0,140,341,0.629949799971655
3,2026-04-28,LABORAL,27,136.25925925925927,30.802049066692067,10.94290672714278,252.96477117529435,324.0,32.89250342216741,16.830659514429243,0,145,341,0.6639080999884754
3,2026-04-29,LABORAL,26,149.84615384615384,33.57113260429692,-6.161201116035879,239.5001157390219,383.0,38.45579847013027,6.749913883858197,0,186,341,0.981911199982278
3,2026-04-30,LABORAL,27,146.40740740740742,31.855454379897317,1.2403390691093261,251.09264103017756,322.0,32.53816316166963,6.388229706316603,0,187,341,1.0937664000084624
3,2026-05-01,FESTIVO,18,33.44444444444444,92.73009556562397,92.73009556562397,180.49964637931015,54.0,13.726851851851855,-5.502777777777779,0,132,341,0.9676930999848992
3,2026-05-02,SABADO,26,81.76923076923077,25.06384845813361,10.784867642302363,140.84653322459707,172.0,28.706100243695463,18.21790167329741,0,371,341,2.0955129000358284
3,2026-05-03,DOMINGO,8,28.5,9.399278305282687,8.755050361579501,19.13963904207769,24.0,9.498216363314054,6.901442169765666,0,132,341,0.8229426000034437
3,2026-05-04,LABORAL,27,141.85185185185185,29.23457197117969,5.917696482980444,234.13860891212508,276.0,32.51473216677244,10.796058471313238,0,328,341,1.9531275000190362
3,2026-05-05,LABORAL,27,140.77777777777777,38.26566590726009,-0.9732142884259513,244.31089310815358,255.0,36.84110761270409,11.739370167708703,0,342,341,1.9156976999947801
3,2026-05-06,LABORAL,23,124.21739130434783,36.66592512608308,18.923927826602718,220.9136995230865,239.0,41.3838443156644,32.88973743817271,0,439,341,1.958688999991864
3,2026-05-07,LABORAL,26,142.46153846153845,50.374925347259165,-29.41542731891529,135.91216538322055,252.0,31.525225055110145,13.399269215654842,0,462,341,2.077373299980536
3,2026-05-08,LABORAL,26,136.73076923076923,31.770732726005527,4.4640468519269705,220.08087171111015,297.0,35.29257310243481,19.013219226701146,0,195,341,0.8783932999940589
3,2026-05-09,SABADO,25,91.72,18.78744459379708,6.3960429354624875,170.62404464834827,184.0,18.453187140645927,6.794601706472259,0,222,341,0.9658952000318095
3,2026-05-10,DOMINGO,9,36.0,10.663479863168881,-4.088874833401754,8.86277375368762,49.0,11.791659313569987,-1.3835706228726,0,206,341,0.8944417999591678
3,2026-05-11,LABORAL,26,135.73076923076923,43.99987790349125,10.580740779688076,224.08549128272034,275.0,47.18347560404149,19.869915708087653,0,164,341,0.7162163000321016
3,2026-05-12,LABORAL,27,145.25925925925927,36.815095059390785,-8.153660742781142,239.6603827975623,326.0,35.912429587678986,6.5345984423940955,0,186,341,0.8024889000225812
3,2026-05-13,LABORAL,26,138.6153846153846,39.625315838711884,16.3301631257651,236.4279576352289,300.0,41.03410321291711,16.679960253239,0,166,341,0.753628300037235
3,2026-05-14,LABORAL,27,134.88888888888889,31.478407437540742,8.808785994516539,242.43219186972738,284.0,33.237583278798944,16.610632535345804,0,176,341,0.7762981000123546
3,2026-05-15,LABORAL,27,140.11111111111111,32.521864252920565,-8.889786696695477,206.37853159296208,252.0,30.266800458450728,11.254077203957927,0,169,341,0.7415568999713287
3,2026-05-16,SABADO,26,92.8076923076923,29.70147693073182,5.248548806459066,161.52712469248428,213.0,28.863561822198808,4.651137166203143,0,162,341,0.6983223999850452
3,2026-05-17,DOMINGO,15,31.666666666666668,11.855809211670305,-0.18923190988232175,12.129585534425686,52.0,13.05347137754149,3.122884990518201,0,194,341,0.8406928000040352
3,2026-05-18,FESTIVO_PUENTE,13,28.923076923076923,94.0230968472718,91.03924737676006,187.64240627306634,34.0,7.357661782661784,1.0333638583638585,0,200,341,0.8712934999493882
3,2026-05-19,LABORAL,27,148.74074074074073,31.706581819475783,-4.966211880346572,240.43969681654139,268.0,30.444284232740593,2.3802821246882924,0,203,341,0.9080407000146806
3,2026-05-20,LABORAL,27,137.85185185185185,29.54877314034568,4.855139980423315,240.51353141838243,273.0,31.137122572714944,13.16047309106307,0,242,341,1.0337031999370083
