route,dia_op,tipo_dia,n,demanda_media,mae_gru,sesgo_gru,rango_pred_gru,rango_real,mae_media,sesgo_media,celdas_sin_media,epocas,ejemplos_ajuste,segundos
1,2026-04-02,FESTIVO,15,28.666666666666668,24.626713634825865,18.528406929221788,22.66529662387022,54.0,12.513333333333332,3.262222222222222,0,378,347,2.937297600088641
1,2026-04-03,FESTIVO,8,21.0,14.472798433090508,12.451596358601345,31.77627366075844,19.0,13.222916666666666,13.222916666666666,0,412,347,3.0841226000338793
1,2026-04-04,SABADO,22,56.36363636363637,31.098925514453185,8.94180449403658,96.12849098502788,107.0,40.679638847132374,32.36634723261422,0,88,347,0.8736587000312284
1,2026-04-05,DOMINGO,11,24.727272727272727,12.110956393433629,12.110956393433629,21.480094875838375,12.0,11.678479319886668,11.678479319886668,0,88,347,0.6078220999334008
1,2026-04-06,LABORAL,28,121.78571428571429,26.653780645638914,-7.053425404022939,164.43996869233828,197.0,26.975298037408276,3.308795729204729,0,351,347,2.7861379999667406
1,2026-04-07,LABORAL,26,139.73076923076923,25.74652868965808,-2.7851840113397985,110.21029680592531,129.0,23.179854832387132,-7.427697709992371,0,97,347,0.9967278999974951
1,2026-04-08,LABORAL,26,126.11538461538461,30.060341201031097,4.912738918515749,128.4932280797095,178.0,28.663387312407284,6.158816105605784,0,347,347,3.3812563000246882
1,2026-04-09,LABORAL,27,115.51851851851852,28.364977992004782,6.533522261377091,150.79100224280648,173.0,29.192886998967865,13.245751577408358,0,352,347,3.213358800043352
1,2026-04-10,LABORAL,26,128.07692307692307,26.446219189325497,-4.525381865194437,102.05647202284584,155.0,26.477182229205205,4.050613243054939,0,490,347,4.506263199960813
1,2026-04-11,SABADO,24,77.25,34.57095072205948,16.077577938706927,72.6959021122741,146.0,22.318430617900678,8.917048388895713,0,88,347,0.6075177000602707
1,2026-04-12,DOMINGO,8,30.375,3.264796283271302,2.091429972708614,7.481142645837252,15.0,5.206088378093984,4.763253012240325,0,511,347,4.149792900076136
1,2026-04-13,LABORAL,27,118.03703703703704,32.311766671881415,-0.9956254116935241,158.57844155840382,189.0,29.51727219708768,10.555875319454579,0,524,347,4.387707000016235
1,2026-04-14,LABORAL,26,122.0,28.256281245698524,1.2997117783731533,118.51405797361254,140.0,30.64575437483254,9.949885551087439,0,437,347,3.747712600044906
1,2026-04-15,LABORAL,26,108.5,25.824046626116324,5.935644064426544,107.9289511722731,178.0,32.36149078895692,23.41493413926938,0,470,347,3.948710599914193
1,2026-04-16,LABORAL,25,115.88,33.07233430570012,5.2820676123990005,87.85355351682603,173.0,36.54986815152658,18.253505201010483,0,355,347,2.104647200088948
1,2026-04-17,LABORAL,25,124.72,29.46700376780221,-10.79945682660032,61.142580544121756,136.0,28.338652472415887,7.034630433848397,0,134,347,1.3373704999685287
1,2026-04-18,SABADO,26,71.38461538461539,16.870856024127587,2.460007773516668,57.65863895607406,80.0,14.575443918013711,13.26781962365202,0,133,347,1.1412937000859529
1,2026-04-19,DOMINGO,13,30.615384615384617,11.440956293003527,-0.5239507631701343,10.217066197310501,46.0,13.420439113947216,6.074008129699115,0,373,347,3.208708900026977
1,2026-04-20,LABORAL,26,121.15384615384616,32.53675391450637,8.949349098578077,101.77471261210557,205.0,29.27204792030785,10.611713110900347,0,324,347,2.9786234999774024
1,2026-04-21,LABORAL,27,117.22222222222223,39.84876212546501,2.756464316999368,132.99093695914803,195.0,43.71559291361028,11.028422616521754,0,295,347,2.61566320003476
1,2026-04-22,LABORAL,24,117.45833333333333,31.656535909694075,5.2316895709695075,99.42575373223625,160.0,30.871508113213267,12.200572999471975,0,285,347,2.528720600064844
1,2026-04-23,LABORAL,23,99.08695652173913,35.83091705597872,28.25935353269961,93.73704318032107,121.0,35.52599499945774,31.81323662454683,0,304,347,2.303090199944563
1,2026-04-24,LABORAL,25,120.68,24.061964528977867,5.458407259714527,95.06270489954106,126.0,23.1448442764384,12.997903711100752,0,328,347,2.8474895999534056
1,2026-04-25,SABADO,26,73.23076923076923,26.242227938388382,-0.40117589157002204,61.569877727225375,106.0,25.913436832395686,12.752339455358563,0,303,347,2.9556884000776336
1,2026-04-26,DOMINGO,9,28.0,6.932998943692734,0.36118761839288677,6.160767096263953,43.0,12.516697061244138,7.796743906508376,0,296,347,2.583794500096701
1,2026-04-27,LABORAL,27,111.0,32.90155552169139,12.46712972430785,146.2876561848953,186.0,32.01968555038508,16.263587044809412,0,272,347,2.682431500055827
1,2026-04-28,LABORAL,26,125.84615384615384,27.51755223379785,-3.6828326536237452,109.83935636730754,174.0,28.37027783941228,3.9832524893384122,0,339,347,2.0824941000901163
1,2026-04-29,LABORAL,26,118.76923076923077,19.923357945337884,1.9993661170122237,120.76777744193186,163.0,22.38960999279737,12.353207124585072,0,330,347,3.083932299981825
1,2026-04-30,LABORAL,25,129.48,42.817824385026704,-3.5440875002860395,96.47047962140815,188.0,39.795056627500855,2.2335418018333395,0,306,347,2.874449900002219
1,2026-05-01,FESTIVO,17,36.705882352941174,15.826902385798716,10.712735027594864,38.731002304139324,58.0,14.870588235294118,-7.590196078431372,0,355,347,3.3349470000248402
1,2026-05-02,SABADO,26,73.07692307692308,26.79658798593585,-7.935446756014326,56.21573455831178,135.0,24.76383240249574,12.912690052064447,0,359,347,3.4898938999976963
1,2026-05-05,LABORAL,25,133.96,33.41585618364183,-5.494487885630681,85.61417870964767,193.0,31.12877877122792,-1.8673916764179364,0,347,347,3.233292800025083
1,2026-05-06,LABORAL,25,107.6,41.51854826917875,20.785070155355083,97.3224284422411,168.0,36.39466711412611,20.981392235426057,0,337,347,3.1448566999752074
1,2026-05-07,LABORAL,27,114.14814814814815,23.42769373829342,1.893813937355061,122.06784034883755,196.0,25.283474574089155,12.875947797985646,0,373,347,2.840582099976018
1,2026-05-08,LABORAL,26,116.5,33.9100440239689,6.072959232755655,108.28230528470823,204.0,33.12883014513071,13.781130415808203,0,390,347,3.718913499964401
1,2026-05-09,SABADO,25,75.8,25.73375205927125,-6.450056208567521,57.00876001412709,130.0,27.55981650433637,10.50006033255223,0,353,347,3.2869753999402747
