route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-06,LABORAL,09:00,176.0,120.45378,120.45378112792969,135.99585062240664
1,2026-04-06,LABORAL,09:30,155.0,119.92205,119.92205047607422,123.4090909090909
1,2026-04-06,LABORAL,10:00,98.0,120.011154,120.01115417480469,104.46280991735537
1,2026-04-06,LABORAL,10:30,80.0,120.719574,120.71957397460938,98.14049586776859
1,2026-04-06,LABORAL,11:00,90.0,122.131226,122.1312255859375,95.37603305785125
1,2026-04-06,LABORAL,11:30,84.0,124.47976,124.4797592163086,101.76859504132231
1,2026-04-06,LABORAL,12:00,110.0,127.55463,127.55462646484375,112.94628099173553
1,2026-04-06,LABORAL,12:30,165.0,131.07239,131.0723876953125,136.1825726141079
1,2026-04-06,LABORAL,13:00,105.0,134.97287,134.97286987304688,136.8512396694215
1,2026-04-06,LABORAL,13:30,192.0,138.61191,138.61190795898438,147.03305785123968
1,2026-04-06,LABORAL,14:00,174.0,141.01227,141.01226806640625,152.26666666666668
1,2026-04-06,LABORAL,14:30,113.0,141.36298,141.36297607421875,159.24380165289256
1,2026-04-06,LABORAL,15:00,217.0,139.20476,139.2047576904297,179.05371900826447
1,2026-04-06,LABORAL,15:30,135.0,132.92921,132.92921447753906,182.33609958506224
1,2026-04-06,LABORAL,16:00,151.0,125.26252,125.26251983642578,153.0954356846473
1,2026-04-06,LABORAL,16:30,118.0,117.11058,117.11058044433594,126.92116182572614
1,2026-04-06,LABORAL,17:00,50.0,108.934135,108.93413543701172,76.45689655172414
1,2026-04-06,LABORAL,17:30,20.0,100.91667,100.91667175292969,39.70625
1,2026-04-06,LABORAL,18:00,21.0,93.19539,93.19538879394531,21.4
1,2026-04-07,LABORAL,04:30,120.0,132.36528,132.3652801513672,127.50826446280992
1,2026-04-07,LABORAL,05:00,126.0,135.48563,135.48562622070312,124.6804979253112
1,2026-04-07,LABORAL,05:30,137.0,138.42676,138.4267578125,143.1900826446281
1,2026-04-07,LABORAL,06:00,143.0,140.52429,140.5242919921875,145.1900826446281
1,2026-04-07,LABORAL,06:30,134.0,138.91438,138.9143829345703,133.37759336099586
1,2026-04-07,LABORAL,07:00,107.0,134.59743,134.59742736816406,133.79752066115702
1,2026-04-07,LABORAL,07:30,187.0,130.34099,130.3409881591797,137.5495867768595
1,2026-04-07,LABORAL,08:00,164.0,126.41875,126.41874694824219,135.90871369294607
1,2026-04-07,LABORAL,08:30,129.0,122.629196,122.62919616699219,137.88796680497924
1,2026-04-07,LABORAL,09:00,152.0,119.22032,119.22032165527344,136.04979253112035
1,2026-04-07,LABORAL,09:30,91.0,116.06985,116.0698471069336,123.71487603305785
1,2026-04-07,LABORAL,10:00,176.0,113.66204,113.66204071044922,104.24380165289256
1,2026-04-07,LABORAL,10:30,88.0,112.03933,112.0393295288086,97.76859504132231
1,2026-04-07,LABORAL,11:00,84.0,111.69145,111.69145202636719,95.24380165289256
1,2026-04-07,LABORAL,11:30,134.0,114.77004,114.7700424194336,101.71900826446281
1,2026-04-07,LABORAL,12:00,113.0,118.64586,118.64585876464844,112.62809917355372
1,2026-04-07,LABORAL,12:30,82.0,123.08548,123.08547973632812,136.39834024896265
1,2026-04-07,LABORAL,13:00,149.0,128.18939,128.18939208984375,136.77685950413223
1,2026-04-07,LABORAL,13:30,211.0,133.46298,133.46298217773438,147.12809917355372
1,2026-04-07,LABORAL,14:00,180.0,138.93074,138.9307403564453,152.3125
