route,jornadas,observaciones,mae_ordinal,mae_grilla,mae_media,cambio_grilla_vs_ordinal_pct,cambio_grilla_vs_media_pct,jornadas_gana_grilla
1,66.0,1483.0,29.015587598989722,29.577851860730615,27.94262787527844,1.937800707370374,5.852076593336086,28.0
3,68.0,1555.0,32.77069930294319,31.658284074470544,31.137606223185173,-3.3945422347845366,1.672183300004848,35.0
GLOBAL,134.0,3038.0,30.937641153844115,30.64272088389243,29.577977227153017,-0.9532732908922537,3.599785234001618,63.0
